X,Y,Z,formation
2000,0,-900,CAMBURI_II
2000,1250,-950,CAMBURI_II
2000,2500,-1000,CAMBURI_II
2000,5000,-1100,CAMBURI_II
2000,7500,-1200,CAMBURI_II
2000,10000,-1300,CAMBURI_II
2000,12500,-1200,CAMBURI_II
2000,15000,-800,CAMBURI_II
2000,17500,-1100,CAMBURI_II
2000,20000,-1400,CAMBURI_II
2000,21875,-1500,CAMBURI_II
2000,22500,-1650,CAMBURI_II
2000,23750,-1800,CAMBURI_II
2000,25000,-1900,CAMBURI_II
2000,26250,-2500,CAMBURI_II
2000,27500,-3000,CAMBURI_II
2000,28750,-3150,CAMBURI_II
2000,30000,-3250,CAMBURI_II
2000,30625,-3370,CAMBURI_II
2000,30940,-3070,CAMBURI_II
2000,31250,-2570,CAMBURI_II
2000,31560,-2070,CAMBURI_II
2000,31875,-1570,CAMBURI_II
2000,32185,-970,CAMBURI_II
2000,32470,-400,CAMBURI_II
2000,40200,-650,CAMBURI_II
2000,40625,-1350,CAMBURI_II
2000,41250,-1850,CAMBURI_II
2000,42500,-2100,CAMBURI_II
2000,0,-1600,CAMBURI_I
2000,1250,-1800,CAMBURI_I
2000,2500,-2000,CAMBURI_I
2000,3750,-2400,CAMBURI_I
2000,5000,-2800,CAMBURI_I
2000,5625,-3050,CAMBURI_I
2000,6300,-2900,CAMBURI_I
2000,7500,-3050,CAMBURI_I
2000,8750,-3100,CAMBURI_I
2000,10000,-2950,CAMBURI_I
2000,11250,-2500,CAMBURI_I
2000,11925,-1950,CAMBURI_I
2000,12500,-1900,CAMBURI_I
2000,15000,-1750,CAMBURI_I
2000,17500,-1900,CAMBURI_I
2000,18750,-2000,CAMBURI_I
2000,19375,-2300,CAMBURI_I
2000,20000,-2300,CAMBURI_I
2000,21250,-2600,CAMBURI_I
2000,21875,-3000,CAMBURI_I
2000,22500,-3400,CAMBURI_I
2000,23125,-3700,CAMBURI_I
2000,23750,-4300,CAMBURI_I
2000,24375,-4600,CAMBURI_I
2000,25000,-4650,CAMBURI_I
2000,26250,-4650,CAMBURI_I
2000,27500,-4600,CAMBURI_I
2000,28700,-4700,CAMBURI_I
2000,29375,-4380,CAMBURI_I
2000,30000,-4080,CAMBURI_I
2000,30313,-3780,CAMBURI_I
2000,30625,-3380,CAMBURI_I
2000,30940,-3080,CAMBURI_I
2000,31250,-2580,CAMBURI_I
2000,31560,-2080,CAMBURI_I
2000,31875,-1580,CAMBURI_I
2000,32185,-980,CAMBURI_I
2000,32480,-400,CAMBURI_I
2000,0,-2900,ARIRI
2000,1250,-3000,ARIRI
2000,2500,-3600,ARIRI
2000,3750,-3900,ARIRI
2000,5000,-4200,ARIRI
2000,6250,-4200,ARIRI
2000,7500,-4100,ARIRI
2000,8750,-4400,ARIRI
2000,10000,-4500,ARIRI
2000,11250,-4400,ARIRI
2000,12500,-3800,ARIRI
2000,16250,-4500,ARIRI
2000,17500,-4500,ARIRI
2000,18750,-4700,ARIRI
2000,20000,-5100,ARIRI
2000,21250,-5400,ARIRI
2000,21875,-5500,ARIRI
2000,22500,-5400,ARIRI
2000,23125,-5300,ARIRI
2000,23750,-5400,ARIRI
2000,25000,-5500,ARIRI
2000,26250,-5500,ARIRI
2000,27500,-5000,ARIRI
2000,28750,-4700,ARIRI
