X,Y,Z,azimuth,dip,polarity,formation
2000,32500,-8000,0,180,1,FALHA
2000,34375,-8000,0,30,1,ITAPEMA
2000,33125,-9500,0,30,1,CAMBORIU
2000,35000,-6500,0,30,1,BV_I
2000,30625,-3380,0,310,1,CAMBURI_II
2000,28750,-4700,0,310,1,CAMBURI_I
2000,15000,-800,0,0,1,CAMBURI_II
2000,17500,-1100,0,0,1,CAMBURI_II
2000,20000,-1400,0,0,1,CAMBURI_II
2000,21875,-1500,0,0,1,CAMBURI_II
2000,22500,-1650,0,0,1,CAMBURI_II
2000,23750,-1800,0,0,1,CAMBURI_II
2000,25000,-1900,0,0,1,CAMBURI_II
2000,26250,-2500,0,0,1,CAMBURI_II
2000,27500,-3000,0,0,1,CAMBURI_II
2000,28750,-3150,0,0,1,CAMBURI_II
2000,30000,-3250,0,0,1,CAMBURI_II
2000,30940,-3070,0,0,1,CAMBURI_II
2000,31250,-2570,0,0,1,CAMBURI_II
2000,31560,-2070,0,0,1,CAMBURI_II
2000,31875,-1570,0,0,1,CAMBURI_II
2000,32185,-970,0,0,1,CAMBURI_II
2000,32470,-400,0,0,1,CAMBURI_II
2000,15000,-1750,0,0,1,CAMBURI_I
2000,17500,-1900,0,0,1,CAMBURI_I
2000,18750,-2000,0,0,1,CAMBURI_I
2000,19375,-2300,0,0,1,CAMBURI_I
2000,20000,-2300,0,0,1,CAMBURI_I
2000,21250,-2600,0,0,1,CAMBURI_I
2000,21875,-3000,0,0,1,CAMBURI_I
2000,22500,-3400,0,0,1,CAMBURI_I
2000,23125,-3700,0,0,1,CAMBURI_I
2000,23750,-4300,0,0,1,CAMBURI_I
2000,24375,-4600,0,0,1,CAMBURI_I
2000,25000,-4650,0,0,1,CAMBURI_I
2000,26250,-4650,0,0,1,CAMBURI_I
2000,27500,-4600,0,0,1,CAMBURI_I
2000,29375,-4380,0,0,1,CAMBURI_I
2000,30000,-4080,0,0,1,CAMBURI_I
2000,30313,-3780,0,0,1,CAMBURI_I
2000,30625,-3380,0,0,1,CAMBURI_I
2000,30940,-3080,0,0,1,CAMBURI_I
2000,31250,-2580,0,0,1,CAMBURI_I
2000,31560,-2080,0,0,1,CAMBURI_I
2000,31875,-1580,0,0,1,CAMBURI_I
2000,32185,-980,0,0,1,CAMBURI_I
2000,32480,-400,0,0,1,CAMBURI_I
2000,15000,-4600,0,0,1,ARIRI
2000,16250,-4500,0,0,1,ARIRI
2000,17500,-4500,0,0,1,ARIRI
2000,18750,-4700,0,0,1,ARIRI
2000,20000,-5100,0,0,1,ARIRI
2000,21250,-5400,0,0,1,ARIRI
