X,Y,Z,formation,,
2000,0,-900,TOP_CAMBURI_SUP,,
2000,1250,-900,TOP_CAMBURI_SUP,,
2000,2500,-950,TOP_CAMBURI_SUP,,
2000,3750,-1000,TOP_CAMBURI_SUP,,
2000,5000,-1050,TOP_CAMBURI_SUP,,
2000,6250,-1100,TOP_CAMBURI_SUP,,
2000,7500,-1200,TOP_CAMBURI_SUP,,
2000,8750,-1300,TOP_CAMBURI_SUP,,
2000,10000,-1350,TOP_CAMBURI_SUP,,
2000,11250,-1200,TOP_CAMBURI_SUP,,
2000,12500,-1200,TOP_CAMBURI_SUP,,
2000,13125,-1200,TOP_CAMBURI_SUP,,DOBRA COMEÇA AQUI
2000,14375,-800,TOP_CAMBURI_SUP,,DOBRA FINALIZA AQUI
2000,15000,-900,TOP_CAMBURI_SUP,,
2000,16250,-1000,TOP_CAMBURI_SUP,,
2000,17500,-1050,TOP_CAMBURI_SUP,,
2000,18750,-1300,TOP_CAMBURI_SUP,,
2000,20000,-1350,TOP_CAMBURI_SUP,,
2000,0,-1550,BOT_CAMBURI_SUP,,
2000,1250,-1750,BOT_CAMBURI_SUP,,
2000,2500,-2000,BOT_CAMBURI_SUP,,
2000,3750,-2450,BOT_CAMBURI_SUP,,
2000,5000,-2800,BOT_CAMBURI_SUP,,
2000,6250,-2950,BOT_CAMBURI_SUP,,
2000,7500,-3050,BOT_CAMBURI_SUP,,
2000,8750,-3050,BOT_CAMBURI_SUP,,
2000,10000,-3000,BOT_CAMBURI_SUP,,
2000,11250,-2500,BOT_CAMBURI_SUP,,
2000,12500,-1900,BOT_CAMBURI_SUP,,
2000,13125,-1900,BOT_CAMBURI_SUP,,DOBRA COMEÇA AQUI
2000,14375,-1500,BOT_CAMBURI_SUP,,DOBRA FINALIZA AQUI
2000,15000,-1850,BOT_CAMBURI_SUP,,
2000,16250,-1900,BOT_CAMBURI_SUP,,
2000,17500,-1900,BOT_CAMBURI_SUP,,
2000,18750,-2000,BOT_CAMBURI_SUP,,
2000,20000,-2300,BOT_CAMBURI_SUP,,
2000,0,-1600,TOP_CAMBURI_INF,,
2000,1250,-1800,TOP_CAMBURI_INF,,
2000,2500,-2050,TOP_CAMBURI_INF,,
2000,3750,-2500,TOP_CAMBURI_INF,,
2000,5000,-2850,TOP_CAMBURI_INF,,
2000,6250,-3000,TOP_CAMBURI_INF,,
2000,7500,-3100,TOP_CAMBURI_INF,,
2000,8750,-3100,TOP_CAMBURI_INF,,
2000,10000,-3050,TOP_CAMBURI_INF,,
2000,11250,-2550,TOP_CAMBURI_INF,,
2000,12500,-1950,TOP_CAMBURI_INF,,
2000,13125,-1950,TOP_CAMBURI_INF,,DOBRA COMEÇA AQUI
2000,14375,-1550,TOP_CAMBURI_INF,,DOBRA FINALIZA AQUI
2000,15000,-1900,TOP_CAMBURI_INF,,
2000,16250,-1950,TOP_CAMBURI_INF,,
2000,17500,-1950,TOP_CAMBURI_INF,,
2000,18750,-2050,TOP_CAMBURI_INF,,
2000,20000,-2350,TOP_CAMBURI_INF,,
2000,0,-3000,BOT_CAMBURI_INF,,
2000,1250,-3250,BOT_CAMBURI_INF,,
2000,2500,-3500,BOT_CAMBURI_INF,,
2000,3750,-3750,BOT_CAMBURI_INF,,
2000,5000,-4250,BOT_CAMBURI_INF,,
2000,6250,-4250,BOT_CAMBURI_INF,,
2000,7500,-4000,BOT_CAMBURI_INF,,
2000,8750,-4400,BOT_CAMBURI_INF,,
2000,10000,-4500,BOT_CAMBURI_INF,,
2000,11250,-4450,BOT_CAMBURI_INF,,
2000,12500,-3700,BOT_CAMBURI_INF,,
2000,13125,-3350,BOT_CAMBURI_INF,,DOBRA COMEÇA AQUI
