X,Y,Z,formation
440716.008,7798378.513,-3327.57,MAASTRICHTIANO
440803.512,7798378.517,-3326.95,MAASTRICHTIANO
441003.521,7798378.528,-3325.54,MAASTRICHTIANO
441203.53,7798378.539,-3332.95,MAASTRICHTIANO
441403.539,7798378.549,-3348.99,MAASTRICHTIANO
441603.548,7798378.56,-3364.36,MAASTRICHTIANO
441803.557,7798378.57,-3374.85,MAASTRICHTIANO
442003.566,7798378.581,-3385.34,MAASTRICHTIANO
442203.575,7798378.592,-3395.83,MAASTRICHTIANO
442403.584,7798378.602,-3406.32,MAASTRICHTIANO
442603.593,7798378.613,-3418.04,MAASTRICHTIANO
442803.602,7798378.624,-3419.08,MAASTRICHTIANO
443003.611,7798378.634,-3420.13,MAASTRICHTIANO
443203.62,7798378.645,-3421.17,MAASTRICHTIANO
443403.628,7798378.655,-3422.22,MAASTRICHTIANO
443603.637,7798378.666,-3423.27,MAASTRICHTIANO
443803.646,7798378.677,-3423.68,MAASTRICHTIANO
444003.655,7798378.687,-3424.15,MAASTRICHTIANO
444203.664,7798378.698,-3424.62,MAASTRICHTIANO
444403.673,7798378.708,-3425.09,MAASTRICHTIANO
444603.682,7798378.719,-3425.56,MAASTRICHTIANO
444803.691,7798378.73,-3430.98,MAASTRICHTIANO
445003.7,7798378.74,-3442.67,MAASTRICHTIANO
445203.709,7798378.751,-3454.36,MAASTRICHTIANO
445403.718,7798378.761,-3466.05,MAASTRICHTIANO
445603.727,7798378.772,-3477.74,MAASTRICHTIANO
445803.736,7798378.783,-3489.43,MAASTRICHTIANO
446003.745,7798378.793,-3501.11,MAASTRICHTIANO
446203.754,7798378.804,-3509.51,MAASTRICHTIANO
446403.762,7798378.815,-3517.15,MAASTRICHTIANO
446603.771,7798378.825,-3524.78,MAASTRICHTIANO
446803.78,7798378.836,-3532.42,MAASTRICHTIANO
447003.789,7798378.846,-3540.05,MAASTRICHTIANO
447203.798,7798378.857,-3547.69,MAASTRICHTIANO
447403.807,7798378.868,-3555.33,MAASTRICHTIANO
447603.816,7798378.878,-3562.96,MAASTRICHTIANO
447803.825,7798378.889,-3570.6,MAASTRICHTIANO
448003.834,7798378.899,-3580.04,MAASTRICHTIANO
448203.843,7798378.91,-3596.8,MAASTRICHTIANO
448403.852,7798378.921,-3609.36,MAASTRICHTIANO
448603.861,7798378.931,-3618.96,MAASTRICHTIANO
448803.87,7798378.942,-3629.19,MAASTRICHTIANO
449003.879,7798378.952,-3639.43,MAASTRICHTIANO
449203.888,7798378.963,-3649.67,MAASTRICHTIANO
449403.896,7798378.974,-3659.9,MAASTRICHTIANO
449603.905,7798378.984,-3672.63,MAASTRICHTIANO
449803.914,7798378.995,-3685.71,MAASTRICHTIANO
450003.923,7798379.006,-3698.79,MAASTRICHTIANO
450203.932,7798379.016,-3711.88,MAASTRICHTIANO
450403.941,7798379.027,-3724.96,MAASTRICHTIANO
450603.95,7798379.037,-3738.04,MAASTRICHTIANO
450803.959,7798379.048,-3751.12,MAASTRICHTIANO
451003.968,7798379.059,-3761.27,MAASTRICHTIANO
451203.977,7798379.069,-3766.54,MAASTRICHTIANO
451403.986,7798379.08,-3771.8,MAASTRICHTIANO
451603.995,7798379.09,-3777.07,MAASTRICHTIANO
451804.004,7798379.101,-3786.04,MAASTRICHTIANO
452004.013,7798379.112,-3795.01,MAASTRICHTIANO
452204.022,7798379.122,-3803.98,MAASTRICHTIANO
452404.031,7798379.133,-3811.72,MAASTRICHTIANO
452604.039,7798379.143,-3818.22,MAASTRICHTIANO
452804.048,7798379.154,-3824.73,MAASTRICHTIANO
453004.057,7798379.165,-3831.23,MAASTRICHTIANO
453204.066,7798379.175,-3837.52,MAASTRICHTIANO
453404.075,7798379.186,-3842.35,MAASTRICHTIANO
453604.084,7798379.196,-3847.18,MAASTRICHTIANO
453804.093,7798379.207,-3852.01,MAASTRICHTIANO
454004.102,7798379.218,-3856.84,MAASTRICHTIANO
454204.111,7798379.228,-3861.67,MAASTRICHTIANO
454404.12,7798379.239,-3866.5,MAASTRICHTIANO
454604.129,7798379.25,-3872.19,MAASTRICHTIANO
454804.138,7798379.26,-3878.28,MAASTRICHTIANO
455004.147,7798379.271,-3884.37,MAASTRICHTIANO
455204.156,7798379.281,-3901.39,MAASTRICHTIANO
455404.165,7798379.292,-3911.23,MAASTRICHTIANO
455604.173,7798379.303,-3920.65,MAASTRICHTIANO
455804.182,7798379.313,-3923.74,MAASTRICHTIANO
456004.191,7798379.324,-3923.72,MAASTRICHTIANO
456204.2,7798379.334,-3922.31,MAASTRICHTIANO
456404.209,7798379.345,-3920.89,MAASTRICHTIANO
456604.218,7798379.356,-3924.11,MAASTRICHTIANO
456804.227,7798379.366,-3931.43,MAASTRICHTIANO
457004.236,7798379.377,-3944.21,MAASTRICHTIANO
457204.245,7798379.387,-3956.67,MAASTRICHTIANO
457404.254,7798379.398,-3962.92,MAASTRICHTIANO
457604.263,7798379.409,-3966.95,MAASTRICHTIANO
457804.272,7798379.419,-3970.98,MAASTRICHTIANO
458004.281,7798379.43,-3973.76,MAASTRICHTIANO
458204.29,7798379.441,-3965.78,MAASTRICHTIANO
458404.299,7798379.451,-3952.42,MAASTRICHTIANO
458604.308,7798379.462,-3922.94,MAASTRICHTIANO
458804.316,7798379.472,-3893.04,MAASTRICHTIANO
459004.325,7798379.483,-3862.8,MAASTRICHTIANO
459204.334,7798379.494,-3834.85,MAASTRICHTIANO
459404.343,7798379.504,-3822.8,MAASTRICHTIANO
459604.352,7798379.515,-3810.76,MAASTRICHTIANO
459804.361,7798379.525,-3798.71,MAASTRICHTIANO
460004.37,7798379.536,-3792.21,MAASTRICHTIANO
460204.379,7798379.547,-3792.21,MAASTRICHTIANO
460404.388,7798379.557,-3792.21,MAASTRICHTIANO
460604.397,7798379.568,-3792.21,MAASTRICHTIANO
460804.406,7798379.578,-3803.91,MAASTRICHTIANO
461004.415,7798379.589,-3818.83,MAASTRICHTIANO
461204.424,7798379.6,-3833.76,MAASTRICHTIANO
461404.433,7798379.61,-3848.68,MAASTRICHTIANO
461604.442,7798379.621,-3863.6,MAASTRICHTIANO
461804.45,7798379.632,-3886.06,MAASTRICHTIANO
462004.459,7798379.642,-3911.46,MAASTRICHTIANO
462204.468,7798379.653,-3932.5,MAASTRICHTIANO
462404.477,7798379.663,-3948.48,MAASTRICHTIANO
462604.486,7798379.674,-3964.45,MAASTRICHTIANO
462804.495,7798379.685,-3980.43,MAASTRICHTIANO
463004.504,7798379.695,-3992.38,MAASTRICHTIANO
463204.513,7798379.706,-4004.48,MAASTRICHTIANO
463404.522,7798379.716,-4016.59,MAASTRICHTIANO
463604.531,7798379.727,-4033.94,MAASTRICHTIANO
463804.54,7798379.738,-4059.53,MAASTRICHTIANO
464004.549,7798379.748,-4085.12,MAASTRICHTIANO
464204.558,7798379.759,-4111.15,MAASTRICHTIANO
464404.567,7798379.769,-4135.76,MAASTRICHTIANO
464604.576,7798379.78,-4160.37,MAASTRICHTIANO
452554.101,7797179.115,-3876.84,MAASTRICHTIANO
452604.103,7797179.118,-3878.67,MAASTRICHTIANO
452804.112,7797179.128,-3886.01,MAASTRICHTIANO
453004.121,7797179.139,-3893.35,MAASTRICHTIANO
453204.13,7797179.149,-3898.38,MAASTRICHTIANO
453404.139,7797179.16,-3903.87,MAASTRICHTIANO
453604.148,7797179.171,-3913.04,MAASTRICHTIANO
453804.157,7797179.181,-3910.33,MAASTRICHTIANO
454004.166,7797179.192,-3906.5,MAASTRICHTIANO
454204.175,7797179.203,-3901.22,MAASTRICHTIANO
454404.184,7797179.213,-3903.98,MAASTRICHTIANO
454604.192,7797179.224,-3913.45,MAASTRICHTIANO
454804.201,7797179.234,-3917.83,MAASTRICHTIANO
455004.21,7797179.245,-3922.27,MAASTRICHTIANO
455204.219,7797179.256,-3928.32,MAASTRICHTIANO
455404.228,7797179.266,-3933.32,MAASTRICHTIANO
455604.237,7797179.277,-3937.29,MAASTRICHTIANO
455804.246,7797179.287,-3943.73,MAASTRICHTIANO
456004.255,7797179.298,-3948.34,MAASTRICHTIANO
456204.264,7797179.309,-3948.14,MAASTRICHTIANO
456404.273,7797179.319,-3946.02,MAASTRICHTIANO
456604.282,7797179.33,-3953.14,MAASTRICHTIANO
456804.291,7797179.34,-3954.92,MAASTRICHTIANO
457004.3,7797179.351,-3950.84,MAASTRICHTIANO
457204.309,7797179.362,-3950.07,MAASTRICHTIANO
457404.318,7797179.372,-3950.07,MAASTRICHTIANO
457604.326,7797179.383,-3962.97,MAASTRICHTIANO
457804.335,7797179.394,-3977.9,MAASTRICHTIANO
458004.344,7797179.404,-3990.08,MAASTRICHTIANO
458204.353,7797179.415,-4000.24,MAASTRICHTIANO
458404.362,7797179.425,-4007.07,MAASTRICHTIANO
458604.371,7797179.436,-4011.31,MAASTRICHTIANO
458804.38,7797179.447,-4000.57,MAASTRICHTIANO
459004.389,7797179.457,-3989.83,MAASTRICHTIANO
459204.398,7797179.468,-3955.75,MAASTRICHTIANO
459404.407,7797179.478,-3911.06,MAASTRICHTIANO
459604.416,7797179.489,-3876.71,MAASTRICHTIANO
459804.425,7797179.5,-3846.73,MAASTRICHTIANO
460004.434,7797179.51,-3834.83,MAASTRICHTIANO
460204.443,7797179.521,-3822.14,MAASTRICHTIANO
460404.452,7797179.531,-3820.66,MAASTRICHTIANO
460604.461,7797179.542,-3819.92,MAASTRICHTIANO
460804.469,7797179.553,-3819.18,MAASTRICHTIANO
461004.478,7797179.563,-3834.85,MAASTRICHTIANO
461204.487,7797179.574,-3850.52,MAASTRICHTIANO
461404.496,7797179.584,-3864.97,MAASTRICHTIANO
461604.505,7797179.595,-3882.55,MAASTRICHTIANO
461804.514,7797179.606,-3903.26,MAASTRICHTIANO
462004.523,7797179.616,-3929.16,MAASTRICHTIANO
462204.532,7797179.627,-3970.62,MAASTRICHTIANO
462404.541,7797179.638,-4026.78,MAASTRICHTIANO
462604.55,7797179.648,-4073.42,MAASTRICHTIANO
462804.559,7797179.659,-4105.51,MAASTRICHTIANO
463004.568,7797179.669,-4143.48,MAASTRICHTIANO
463204.577,7797179.68,-4173.18,MAASTRICHTIANO
463404.586,7797179.691,-4198.17,MAASTRICHTIANO
463604.595,7797179.701,-4223.16,MAASTRICHTIANO
463804.604,7797179.712,-4239.11,MAASTRICHTIANO
464004.612,7797179.722,-4252.97,MAASTRICHTIANO
464204.621,7797179.733,-4266.83,MAASTRICHTIANO
464404.63,7797179.744,-4273.93,MAASTRICHTIANO
464604.639,7797179.754,-4278.79,MAASTRICHTIANO
464804.648,7797179.765,-4282.39,MAASTRICHTIANO
465004.657,7797179.775,-4285.36,MAASTRICHTIANO
465204.666,7797179.786,-4284.09,MAASTRICHTIANO
465404.675,7797179.797,-4280.52,MAASTRICHTIANO
465604.684,7797179.807,-4276.94,MAASTRICHTIANO
465804.693,7797179.818,-4266.96,MAASTRICHTIANO
462354.56,7796779.626,-3992.64,MAASTRICHTIANO
462404.562,7796779.629,-4019.11,MAASTRICHTIANO
462604.571,7796779.64,-4095.03,MAASTRICHTIANO
462804.58,7796779.65,-4133.85,MAASTRICHTIANO
463004.589,7796779.661,-4149.58,MAASTRICHTIANO
463204.598,7796779.671,-4157.07,MAASTRICHTIANO
463404.607,7796779.682,-4168.05,MAASTRICHTIANO
463604.616,7796779.693,-4191.43,MAASTRICHTIANO
463804.625,7796779.703,-4212.5,MAASTRICHTIANO
464004.634,7796779.714,-4227.19,MAASTRICHTIANO
464204.643,7796779.724,-4233.67,MAASTRICHTIANO
464404.652,7796779.735,-4240.14,MAASTRICHTIANO
464604.66,7796779.746,-4245.81,MAASTRICHTIANO
464804.669,7796779.756,-4252.32,MAASTRICHTIANO
465004.678,7796779.767,-4257.82,MAASTRICHTIANO
465204.687,7796779.778,-4263.32,MAASTRICHTIANO
465404.696,7796779.788,-4261.43,MAASTRICHTIANO
465604.705,7796779.799,-4258.0,MAASTRICHTIANO
465804.714,7796779.809,-4254.56,MAASTRICHTIANO
466004.723,7796779.82,-4249.19,MAASTRICHTIANO
442291.185,7796378.553,-3500.88,MAASTRICHTIANO
442403.69,7796378.559,-3495.05,MAASTRICHTIANO
442603.699,7796378.57,-3490.52,MAASTRICHTIANO
442803.708,7796378.581,-3491.07,MAASTRICHTIANO
443003.717,7796378.591,-3492.18,MAASTRICHTIANO
443203.726,7796378.602,-3492.94,MAASTRICHTIANO
443403.735,7796378.612,-3496.29,MAASTRICHTIANO
443603.743,7796378.623,-3502.23,MAASTRICHTIANO
443803.752,7796378.634,-3505.95,MAASTRICHTIANO
444003.761,7796378.644,-3505.95,MAASTRICHTIANO
444203.77,7796378.655,-3505.95,MAASTRICHTIANO
444403.779,7796378.665,-3506.27,MAASTRICHTIANO
444603.788,7796378.676,-3507.96,MAASTRICHTIANO
444803.797,7796378.687,-3513.67,MAASTRICHTIANO
445003.806,7796378.697,-3516.69,MAASTRICHTIANO
445203.815,7796378.708,-3518.96,MAASTRICHTIANO
445403.824,7796378.718,-3526.95,MAASTRICHTIANO
445603.833,7796378.729,-3547.4,MAASTRICHTIANO
445803.842,7796378.74,-3554.24,MAASTRICHTIANO
446003.851,7796378.75,-3558.0,MAASTRICHTIANO
446203.86,7796378.761,-3559.25,MAASTRICHTIANO
446403.869,7796378.772,-3560.43,MAASTRICHTIANO
446603.878,7796378.782,-3564.28,MAASTRICHTIANO
446803.886,7796378.793,-3570.56,MAASTRICHTIANO
447003.895,7796378.803,-3581.08,MAASTRICHTIANO
447203.904,7796378.814,-3591.6,MAASTRICHTIANO
447403.913,7796378.825,-3602.12,MAASTRICHTIANO
447603.922,7796378.835,-3611.53,MAASTRICHTIANO
447803.931,7796378.846,-3623.1,MAASTRICHTIANO
448003.94,7796378.856,-3634.68,MAASTRICHTIANO
448203.949,7796378.867,-3645.53,MAASTRICHTIANO
448403.958,7796378.878,-3658.19,MAASTRICHTIANO
448603.967,7796378.888,-3676.61,MAASTRICHTIANO
448803.976,7796378.899,-3692.05,MAASTRICHTIANO
449003.985,7796378.909,-3703.86,MAASTRICHTIANO
449203.994,7796378.92,-3717.36,MAASTRICHTIANO
449404.003,7796378.931,-3730.86,MAASTRICHTIANO
449604.012,7796378.941,-3744.14,MAASTRICHTIANO
449804.02,7796378.952,-3759.3,MAASTRICHTIANO
450429.048,7796378.985,-3785.39,MAASTRICHTIANO
450604.056,7796378.994,-3793.54,MAASTRICHTIANO
450804.065,7796379.005,-3800.79,MAASTRICHTIANO
451004.074,7796379.016,-3814.3,MAASTRICHTIANO
451204.083,7796379.026,-3823.1,MAASTRICHTIANO
451404.092,7796379.037,-3829.54,MAASTRICHTIANO
451604.101,7796379.047,-3866.29,MAASTRICHTIANO
451804.11,7796379.058,-3885.04,MAASTRICHTIANO
452004.119,7796379.069,-3896.11,MAASTRICHTIANO
452204.128,7796379.079,-3905.48,MAASTRICHTIANO
