X,Y,Z,formation
431215.581,7798428.01,-2784.95,MAASTRICHTIANO
431415.59,7798428.02,-2795.7,MAASTRICHTIANO
431715.604,7798428.036,-2814.77,MAASTRICHTIANO
432015.617,7798428.052,-2833.81,MAASTRICHTIANO
432315.63,7798428.068,-2852.79,MAASTRICHTIANO
432615.644,7798428.084,-2871.68,MAASTRICHTIANO
432915.657,7798428.1,-2890.47,MAASTRICHTIANO
433215.671,7798428.116,-2909.15,MAASTRICHTIANO
433515.684,7798428.132,-2927.73,MAASTRICHTIANO
433815.697,7798428.148,-2946.25,MAASTRICHTIANO
434115.711,7798428.164,-2964.74,MAASTRICHTIANO
434415.724,7798428.18,-2983.21,MAASTRICHTIANO
434715.738,7798428.196,-3001.68,MAASTRICHTIANO
435015.751,7798428.211,-3020.15,MAASTRICHTIANO
435315.764,7798428.227,-3038.6,MAASTRICHTIANO
435615.778,7798428.243,-3057.0,MAASTRICHTIANO
435915.791,7798428.259,-3075.31,MAASTRICHTIANO
436215.805,7798428.275,-3093.52,MAASTRICHTIANO
436515.818,7798428.291,-3111.63,MAASTRICHTIANO
436815.831,7798428.307,-3129.65,MAASTRICHTIANO
437115.845,7798428.323,-3147.56,MAASTRICHTIANO
437415.858,7798428.339,-3165.37,MAASTRICHTIANO
437715.872,7798428.355,-3183.04,MAASTRICHTIANO
438015.885,7798428.371,-3200.47,MAASTRICHTIANO
438315.898,7798428.387,-3217.52,MAASTRICHTIANO
438615.912,7798428.402,-3233.96,MAASTRICHTIANO
438915.925,7798428.418,-3249.58,MAASTRICHTIANO
439215.939,7798428.434,-3264.24,MAASTRICHTIANO
439515.952,7798428.45,-3277.98,MAASTRICHTIANO
439815.966,7798428.466,-3291.06,MAASTRICHTIANO
440115.979,7798428.482,-3304.13,MAASTRICHTIANO
440415.992,7798428.498,-3317.62,MAASTRICHTIANO
440716.006,7798428.514,-3326.89,MAASTRICHTIANO
441016.019,7798428.53,-3324.42,MAASTRICHTIANO
441316.033,7798428.546,-3341.31,MAASTRICHTIANO
441616.046,7798428.562,-3364.75,MAASTRICHTIANO
441916.059,7798428.578,-3380.2,MAASTRICHTIANO
442216.073,7798428.593,-3395.9,MAASTRICHTIANO
442516.086,7798428.609,-3413.06,MAASTRICHTIANO
442816.1,7798428.625,-3418.61,MAASTRICHTIANO
443116.113,7798428.641,-3420.13,MAASTRICHTIANO
443416.126,7798428.657,-3421.73,MAASTRICHTIANO
443716.14,7798428.673,-3422.93,MAASTRICHTIANO
444016.153,7798428.689,-3423.63,MAASTRICHTIANO
444316.167,7798428.705,-3424.37,MAASTRICHTIANO
444616.18,7798428.721,-3424.75,MAASTRICHTIANO
444916.193,7798428.737,-3436.93,MAASTRICHTIANO
445216.207,7798428.753,-3454.56,MAASTRICHTIANO
445516.22,7798428.768,-3472.07,MAASTRICHTIANO
445816.234,7798428.784,-3489.63,MAASTRICHTIANO
446116.247,7798428.8,-3505.76,MAASTRICHTIANO
446416.26,7798428.816,-3517.07,MAASTRICHTIANO
446716.274,7798428.832,-3528.54,MAASTRICHTIANO
447016.287,7798428.848,-3539.99,MAASTRICHTIANO
447316.301,7798428.864,-3551.45,MAASTRICHTIANO
447616.314,7798428.88,-3562.9,MAASTRICHTIANO
447916.327,7798428.896,-3574.08,MAASTRICHTIANO
448216.341,7798428.912,-3597.48,MAASTRICHTIANO
448516.354,7798428.928,-3613.84,MAASTRICHTIANO
448816.368,7798428.944,-3629.22,MAASTRICHTIANO
449116.381,7798428.959,-3644.58,MAASTRICHTIANO
449416.394,7798428.975,-3660.01,MAASTRICHTIANO
449716.408,7798428.991,-3679.39,MAASTRICHTIANO
450016.421,7798429.007,-3699.01,MAASTRICHTIANO
450316.435,7798429.023,-3718.62,MAASTRICHTIANO
450616.448,7798429.039,-3738.23,MAASTRICHTIANO
450916.461,7798429.055,-3757.67,MAASTRICHTIANO
451216.475,7798429.071,-3766.27,MAASTRICHTIANO
451516.488,7798429.087,-3774.07,MAASTRICHTIANO
451816.502,7798429.103,-3785.93,MAASTRICHTIANO
452116.515,7798429.119,-3799.46,MAASTRICHTIANO
452416.528,7798429.135,-3811.53,MAASTRICHTIANO
452716.542,7798429.15,-3821.17,MAASTRICHTIANO
453016.555,7798429.166,-3830.97,MAASTRICHTIANO
453316.569,7798429.182,-3839.63,MAASTRICHTIANO
453616.582,7798429.198,-3846.88,MAASTRICHTIANO
453916.595,7798429.214,-3854.15,MAASTRICHTIANO
454216.609,7798429.23,-3861.42,MAASTRICHTIANO
454516.622,7798429.246,-3869.0,MAASTRICHTIANO
454816.636,7798429.262,-3878.13,MAASTRICHTIANO
455116.649,7798429.278,-3891.5,MAASTRICHTIANO
455416.662,7798429.294,-3911.56,MAASTRICHTIANO
455716.676,7798429.31,-3922.24,MAASTRICHTIANO
456016.689,7798429.326,-3923.4,MAASTRICHTIANO
456316.703,7798429.341,-3921.16,MAASTRICHTIANO
456616.716,7798429.357,-3924.06,MAASTRICHTIANO
456916.729,7798429.373,-3937.43,MAASTRICHTIANO
457216.743,7798429.389,-3957.49,MAASTRICHTIANO
457516.756,7798429.405,-3964.96,MAASTRICHTIANO
457816.77,7798429.421,-3971.17,MAASTRICHTIANO
458116.783,7798429.437,-3969.44,MAASTRICHTIANO
458416.796,7798429.453,-3950.91,MAASTRICHTIANO
458716.81,7798429.469,-3906.28,MAASTRICHTIANO
459016.823,7798429.485,-3860.67,MAASTRICHTIANO
459316.837,7798429.501,-3827.7,MAASTRICHTIANO
459616.85,7798429.517,-3809.95,MAASTRICHTIANO
459916.864,7798429.532,-3792.14,MAASTRICHTIANO
460216.877,7798429.548,-3792.08,MAASTRICHTIANO
460516.89,7798429.564,-3791.84,MAASTRICHTIANO
460816.904,7798429.58,-3804.47,MAASTRICHTIANO
461116.917,7798429.596,-3827.11,MAASTRICHTIANO
461416.931,7798429.612,-3849.34,MAASTRICHTIANO
461716.944,7798429.628,-3874.87,MAASTRICHTIANO
462016.957,7798429.644,-3912.93,MAASTRICHTIANO
462316.971,7798429.66,-3941.33,MAASTRICHTIANO
462616.984,7798429.676,-3965.34,MAASTRICHTIANO
462916.998,7798429.692,-3987.1,MAASTRICHTIANO
463217.011,7798429.708,-4005.16,MAASTRICHTIANO
463517.024,7798429.723,-4023.6,MAASTRICHTIANO
463817.038,7798429.739,-4060.8,MAASTRICHTIANO
464117.051,7798429.755,-4099.47,MAASTRICHTIANO
464417.065,7798429.771,-4136.63,MAASTRICHTIANO
464717.078,7798429.787,-4172.85,MAASTRICHTIANO
465017.091,7798429.803,-4204.32,MAASTRICHTIANO
465317.105,7798429.819,-4232.5,MAASTRICHTIANO
465617.118,7798429.835,-4257.46,MAASTRICHTIANO
465917.132,7798429.851,-4280.31,MAASTRICHTIANO
466217.145,7798429.867,-4301.67,MAASTRICHTIANO
466517.158,7798429.883,-4321.7,MAASTRICHTIANO
466817.172,7798429.899,-4340.32,MAASTRICHTIANO
467117.185,7798429.914,-4357.85,MAASTRICHTIANO
467417.199,7798429.93,-4374.59,MAASTRICHTIANO
467717.212,7798429.946,-4390.49,MAASTRICHTIANO
468017.225,7798429.962,-4405.62,MAASTRICHTIANO
468317.239,7798429.978,-4420.24,MAASTRICHTIANO
468617.252,7798429.994,-4434.59,MAASTRICHTIANO
468917.266,7798430.01,-4448.74,MAASTRICHTIANO
469217.279,7798430.026,-4462.7,MAASTRICHTIANO
469517.292,7798430.042,-4476.45,MAASTRICHTIANO
469817.306,7798430.058,-4490.01,MAASTRICHTIANO
470117.319,7798430.074,-4503.41,MAASTRICHTIANO
470417.333,7798430.09,-4516.74,MAASTRICHTIANO
470717.346,7798430.105,-4530.1,MAASTRICHTIANO
471017.359,7798430.121,-4543.6,MAASTRICHTIANO
471317.373,7798430.137,-4557.33,MAASTRICHTIANO
471617.386,7798430.153,-4571.35,MAASTRICHTIANO
471917.4,7798430.169,-4585.71,MAASTRICHTIANO
472217.413,7798430.185,-4600.42,MAASTRICHTIANO
472517.426,7798430.201,-4615.48,MAASTRICHTIANO
472817.44,7798430.217,-4630.84,MAASTRICHTIANO
473117.453,7798430.233,-4646.44,MAASTRICHTIANO
473417.467,7798430.249,-4662.22,MAASTRICHTIANO
473717.48,7798430.265,-4678.1,MAASTRICHTIANO
474017.493,7798430.28,-4694.05,MAASTRICHTIANO
431215.595,7798178.004,-2783.59,MAASTRICHTIANO
431415.603,7798178.015,-2794.58,MAASTRICHTIANO
431715.617,7798178.031,-2813.85,MAASTRICHTIANO
432015.63,7798178.047,-2833.08,MAASTRICHTIANO
432315.644,7798178.063,-2852.23,MAASTRICHTIANO
432615.657,7798178.079,-2871.28,MAASTRICHTIANO
432915.67,7798178.095,-2890.22,MAASTRICHTIANO
433215.684,7798178.111,-2909.04,MAASTRICHTIANO
433515.697,7798178.126,-2927.75,MAASTRICHTIANO
433815.711,7798178.142,-2946.39,MAASTRICHTIANO
434115.724,7798178.158,-2964.98,MAASTRICHTIANO
434415.738,7798178.174,-2983.57,MAASTRICHTIANO
434715.751,7798178.19,-3002.17,MAASTRICHTIANO
435015.764,7798178.206,-3020.77,MAASTRICHTIANO
435315.778,7798178.222,-3039.33,MAASTRICHTIANO
435615.791,7798178.238,-3057.79,MAASTRICHTIANO
435915.805,7798178.254,-3076.11,MAASTRICHTIANO
436215.818,7798178.27,-3094.29,MAASTRICHTIANO
436515.831,7798178.286,-3112.37,MAASTRICHTIANO
436815.845,7798178.302,-3130.37,MAASTRICHTIANO
437115.858,7798178.317,-3148.31,MAASTRICHTIANO
437415.872,7798178.333,-3166.2,MAASTRICHTIANO
437715.885,7798178.349,-3184.03,MAASTRICHTIANO
438015.898,7798178.365,-3201.72,MAASTRICHTIANO
438315.912,7798178.381,-3219.16,MAASTRICHTIANO
438615.925,7798178.397,-3236.14,MAASTRICHTIANO
438915.939,7798178.413,-3252.43,MAASTRICHTIANO
439215.952,7798178.429,-3267.81,MAASTRICHTIANO
439515.965,7798178.445,-3282.21,MAASTRICHTIANO
439815.979,7798178.461,-3295.77,MAASTRICHTIANO
440115.992,7798178.477,-3308.94,MAASTRICHTIANO
440416.006,7798178.493,-3321.9,MAASTRICHTIANO
440716.019,7798178.508,-3330.86,MAASTRICHTIANO
441016.032,7798178.524,-3331.81,MAASTRICHTIANO
441316.046,7798178.54,-3347.16,MAASTRICHTIANO
441616.059,7798178.556,-3369.35,MAASTRICHTIANO
441916.073,7798178.572,-3385.97,MAASTRICHTIANO
442216.086,7798178.588,-3401.93,MAASTRICHTIANO
442516.099,7798178.604,-3417.97,MAASTRICHTIANO
442816.113,7798178.62,-3424.74,MAASTRICHTIANO
443116.126,7798178.636,-3426.27,MAASTRICHTIANO
443416.14,7798178.652,-3427.69,MAASTRICHTIANO
443716.153,7798178.668,-3428.74,MAASTRICHTIANO
444016.166,7798178.684,-3429.29,MAASTRICHTIANO
444316.18,7798178.699,-3429.75,MAASTRICHTIANO
444616.193,7798178.715,-3430.84,MAASTRICHTIANO
444916.207,7798178.731,-3442.35,MAASTRICHTIANO
445216.22,7798178.747,-3459.85,MAASTRICHTIANO
445516.233,7798178.763,-3477.52,MAASTRICHTIANO
445816.247,7798178.779,-3495.07,MAASTRICHTIANO
446116.26,7798178.795,-3510.68,MAASTRICHTIANO
446416.274,7798178.811,-3522.5,MAASTRICHTIANO
446716.287,7798178.827,-3533.87,MAASTRICHTIANO
447016.3,7798178.843,-3545.29,MAASTRICHTIANO
447316.314,7798178.859,-3556.72,MAASTRICHTIANO
447616.327,7798178.875,-3568.19,MAASTRICHTIANO
447916.341,7798178.89,-3580.98,MAASTRICHTIANO
448216.354,7798178.906,-3602.48,MAASTRICHTIANO
448516.367,7798178.922,-3619.97,MAASTRICHTIANO
448816.381,7798178.938,-3635.14,MAASTRICHTIANO
449116.394,7798178.954,-3650.39,MAASTRICHTIANO
449416.408,7798178.97,-3666.28,MAASTRICHTIANO
449716.421,7798178.986,-3685.08,MAASTRICHTIANO
450016.434,7798179.002,-3704.74,MAASTRICHTIANO
450316.448,7798179.018,-3724.48,MAASTRICHTIANO
450616.461,7798179.034,-3744.29,MAASTRICHTIANO
450916.475,7798179.05,-3762.43,MAASTRICHTIANO
