X,Y,Z,formation
740683.64,7229517.38,-6694.09,BASE_ITAPEMA
740733.64,7229517.38,-6682.6,BASE_ITAPEMA
740633.64,7229567.38,-6685.51,BASE_ITAPEMA
740733.64,7229567.38,-6655.34,BASE_ITAPEMA
740483.64,7229667.38,-6584.58,BASE_ITAPEMA
740383.64,7229717.38,-6569.5,BASE_ITAPEMA
740433.64,7229717.38,-6568.18,BASE_ITAPEMA
740583.64,7229717.38,-6594.11,BASE_ITAPEMA
740733.64,7229717.38,-6558.89,BASE_ITAPEMA
740883.64,7229767.38,-6487.0,BASE_ITAPEMA
740183.64,7229867.38,-6609.37,BASE_ITAPEMA
740283.64,7229867.38,-6604.41,BASE_ITAPEMA
740433.64,7229867.38,-6576.95,BASE_ITAPEMA
740583.64,7229867.38,-6533.31,BASE_ITAPEMA
740733.64,7229867.38,-6507.84,BASE_ITAPEMA
740883.64,7229867.38,-6461.13,BASE_ITAPEMA
740083.64,7229917.38,-6603.75,BASE_ITAPEMA
739933.64,7230017.38,-6614.1,BASE_ITAPEMA
739983.64,7230017.38,-6607.98,BASE_ITAPEMA
740133.64,7230017.38,-6599.52,BASE_ITAPEMA
740283.64,7230017.38,-6588.98,BASE_ITAPEMA
740433.64,7230017.38,-6548.66,BASE_ITAPEMA
740583.64,7230017.38,-6512.52,BASE_ITAPEMA
740733.64,7230017.38,-6475.12,BASE_ITAPEMA
740883.64,7230017.38,-6437.61,BASE_ITAPEMA
741033.64,7230017.38,-6384.68,BASE_ITAPEMA
739783.64,7230117.38,-6645.69,BASE_ITAPEMA
739733.64,7230167.38,-6650.01,BASE_ITAPEMA
739833.64,7230167.38,-6631.2,BASE_ITAPEMA
739983.64,7230167.38,-6591.35,BASE_ITAPEMA
740133.64,7230167.38,-6582.56,BASE_ITAPEMA
740283.64,7230167.38,-6562.19,BASE_ITAPEMA
740433.64,7230167.38,-6531.01,BASE_ITAPEMA
740583.64,7230167.38,-6505.7,BASE_ITAPEMA
740733.64,7230167.38,-6465.41,BASE_ITAPEMA
740883.64,7230167.38,-6420.19,BASE_ITAPEMA
741033.64,7230167.38,-6398.38,BASE_ITAPEMA
741183.64,7230217.38,-6371.72,BASE_ITAPEMA
739583.64,7230267.38,-6639.55,BASE_ITAPEMA
739483.64,7230317.38,-6615.64,BASE_ITAPEMA
739533.64,7230317.38,-6620.84,BASE_ITAPEMA
739683.64,7230317.38,-6620.33,BASE_ITAPEMA
739833.64,7230317.38,-6591.96,BASE_ITAPEMA
739983.64,7230317.38,-6556.05,BASE_ITAPEMA
740133.64,7230317.38,-6539.25,BASE_ITAPEMA
740283.64,7230317.38,-6534.49,BASE_ITAPEMA
740433.64,7230317.38,-6504.67,BASE_ITAPEMA
740583.64,7230317.38,-6473.75,BASE_ITAPEMA
740733.64,7230317.38,-6450.64,BASE_ITAPEMA
740883.64,7230317.38,-6430.53,BASE_ITAPEMA
741033.64,7230317.38,-6399.62,BASE_ITAPEMA
741183.64,7230317.38,-6360.47,BASE_ITAPEMA
739283.64,7230467.38,-6575.56,BASE_ITAPEMA
739383.64,7230467.38,-6554.84,BASE_ITAPEMA
739533.64,7230467.38,-6555.48,BASE_ITAPEMA
739683.64,7230467.38,-6573.08,BASE_ITAPEMA
739833.64,7230467.38,-6549.0,BASE_ITAPEMA
739983.64,7230467.38,-6516.52,BASE_ITAPEMA
740133.64,7230467.38,-6498.1,BASE_ITAPEMA
740283.64,7230467.38,-6485.85,BASE_ITAPEMA
740433.64,7230467.38,-6472.7,BASE_ITAPEMA
740583.64,7230467.38,-6467.03,BASE_ITAPEMA
740733.64,7230467.38,-6451.51,BASE_ITAPEMA
740883.64,7230467.38,-6415.17,BASE_ITAPEMA
741033.64,7230467.38,-6381.4,BASE_ITAPEMA
741183.64,7230467.38,-6345.67,BASE_ITAPEMA
741333.64,7230467.38,-6317.11,BASE_ITAPEMA
739133.64,7230567.38,-6568.55,BASE_ITAPEMA
739083.64,7230617.38,-6563.16,BASE_ITAPEMA
739233.64,7230617.38,-6533.72,BASE_ITAPEMA
739383.64,7230617.38,-6512.99,BASE_ITAPEMA
739533.64,7230617.38,-6508.16,BASE_ITAPEMA
739683.64,7230617.38,-6523.81,BASE_ITAPEMA
739833.64,7230617.38,-6514.78,BASE_ITAPEMA
739983.64,7230617.38,-6485.96,BASE_ITAPEMA
740133.64,7230617.38,-6473.6,BASE_ITAPEMA
740283.64,7230617.38,-6461.5,BASE_ITAPEMA
740433.64,7230617.38,-6462.89,BASE_ITAPEMA
740583.64,7230617.38,-6451.56,BASE_ITAPEMA
740733.64,7230617.38,-6428.39,BASE_ITAPEMA
740883.64,7230617.38,-6403.05,BASE_ITAPEMA
741033.64,7230617.38,-6379.39,BASE_ITAPEMA
741183.64,7230617.38,-6350.97,BASE_ITAPEMA
741333.64,7230617.38,-6307.29,BASE_ITAPEMA
738983.64,7230667.38,-6575.54,BASE_ITAPEMA
741483.64,7230667.38,-6289.54,BASE_ITAPEMA
738833.64,7230767.38,-6575.17,BASE_ITAPEMA
738933.64,7230767.38,-6570.22,BASE_ITAPEMA
739083.64,7230767.38,-6523.62,BASE_ITAPEMA
739233.64,7230767.38,-6493.48,BASE_ITAPEMA
739383.64,7230767.38,-6491.52,BASE_ITAPEMA
739533.64,7230767.38,-6485.29,BASE_ITAPEMA
739683.64,7230767.38,-6467.89,BASE_ITAPEMA
739833.64,7230767.38,-6466.46,BASE_ITAPEMA
739983.64,7230767.38,-6461.28,BASE_ITAPEMA
740133.64,7230767.38,-6461.53,BASE_ITAPEMA
740283.64,7230767.38,-6450.62,BASE_ITAPEMA
740433.64,7230767.38,-6432.67,BASE_ITAPEMA
740583.64,7230767.38,-6425.44,BASE_ITAPEMA
740733.64,7230767.38,-6414.76,BASE_ITAPEMA
740883.64,7230767.38,-6403.79,BASE_ITAPEMA
741033.64,7230767.38,-6378.47,BASE_ITAPEMA
741183.64,7230767.38,-6342.79,BASE_ITAPEMA
741333.64,7230767.38,-6303.68,BASE_ITAPEMA
741483.64,7230767.38,-6283.65,BASE_ITAPEMA
738733.64,7230817.38,-6566.58,BASE_ITAPEMA
741633.64,7230867.38,-6264.95,BASE_ITAPEMA
738633.64,7230917.38,-6547.19,BASE_ITAPEMA
738783.64,7230917.38,-6544.89,BASE_ITAPEMA
738933.64,7230917.38,-6529.3,BASE_ITAPEMA
739083.64,7230917.38,-6519.86,BASE_ITAPEMA
739233.64,7230917.38,-6486.04,BASE_ITAPEMA
739383.64,7230917.38,-6466.44,BASE_ITAPEMA
739533.64,7230917.38,-6449.38,BASE_ITAPEMA
739683.64,7230917.38,-6432.81,BASE_ITAPEMA
739833.64,7230917.38,-6436.42,BASE_ITAPEMA
739983.64,7230917.38,-6446.2,BASE_ITAPEMA
