X,Y,Z,formation
740683.64,7229517.38,-6694.09,BASE_ITAPEMA
740733.64,7229517.38,-6682.6,BASE_ITAPEMA
740633.64,7229567.38,-6685.51,BASE_ITAPEMA
740683.64,7229567.38,-6675.88,BASE_ITAPEMA
740733.64,7229567.38,-6655.34,BASE_ITAPEMA
740583.64,7229617.38,-6654.76,BASE_ITAPEMA
740633.64,7229617.38,-6661.83,BASE_ITAPEMA
740683.64,7229617.38,-6649.12,BASE_ITAPEMA
740733.64,7229617.38,-6622.1,BASE_ITAPEMA
740783.64,7229617.38,-6592.77,BASE_ITAPEMA
740483.64,7229667.38,-6584.58,BASE_ITAPEMA
740533.64,7229667.38,-6614.81,BASE_ITAPEMA
740583.64,7229667.38,-6630.34,BASE_ITAPEMA
740633.64,7229667.38,-6630.22,BASE_ITAPEMA
740683.64,7229667.38,-6615.53,BASE_ITAPEMA
740733.64,7229667.38,-6584.39,BASE_ITAPEMA
740783.64,7229667.38,-6555.28,BASE_ITAPEMA
740833.64,7229667.38,-6537.06,BASE_ITAPEMA
740383.64,7229717.38,-6569.5,BASE_ITAPEMA
740433.64,7229717.38,-6568.18,BASE_ITAPEMA
740483.64,7229717.38,-6575.83,BASE_ITAPEMA
740533.64,7229717.38,-6588.7,BASE_ITAPEMA
740583.64,7229717.38,-6594.11,BASE_ITAPEMA
740633.64,7229717.38,-6593.67,BASE_ITAPEMA
740683.64,7229717.38,-6581.72,BASE_ITAPEMA
740733.64,7229717.38,-6558.89,BASE_ITAPEMA
740783.64,7229717.38,-6539.41,BASE_ITAPEMA
740833.64,7229717.38,-6520.86,BASE_ITAPEMA
740333.64,7229767.38,-6583.49,BASE_ITAPEMA
740383.64,7229767.38,-6581.35,BASE_ITAPEMA
740433.64,7229767.38,-6574.62,BASE_ITAPEMA
740483.64,7229767.38,-6570.23,BASE_ITAPEMA
740533.64,7229767.38,-6569.29,BASE_ITAPEMA
740583.64,7229767.38,-6566.99,BASE_ITAPEMA
740633.64,7229767.38,-6562.36,BASE_ITAPEMA
740683.64,7229767.38,-6555.49,BASE_ITAPEMA
740733.64,7229767.38,-6535.97,BASE_ITAPEMA
740783.64,7229767.38,-6522.06,BASE_ITAPEMA
740833.64,7229767.38,-6501.65,BASE_ITAPEMA
740883.64,7229767.38,-6487.0,BASE_ITAPEMA
740283.64,7229817.38,-6600.27,BASE_ITAPEMA
740333.64,7229817.38,-6595.22,BASE_ITAPEMA
740383.64,7229817.38,-6588.39,BASE_ITAPEMA
740433.64,7229817.38,-6578.61,BASE_ITAPEMA
740483.64,7229817.38,-6567.83,BASE_ITAPEMA
740533.64,7229817.38,-6558.93,BASE_ITAPEMA
740583.64,7229817.38,-6549.35,BASE_ITAPEMA
740633.64,7229817.38,-6545.39,BASE_ITAPEMA
740683.64,7229817.38,-6540.09,BASE_ITAPEMA
740733.64,7229817.38,-6522.41,BASE_ITAPEMA
740783.64,7229817.38,-6509.81,BASE_ITAPEMA
740833.64,7229817.38,-6488.94,BASE_ITAPEMA
740883.64,7229817.38,-6470.12,BASE_ITAPEMA
740933.64,7229817.38,-6458.82,BASE_ITAPEMA
740183.64,7229867.38,-6609.37,BASE_ITAPEMA
740233.64,7229867.38,-6610.48,BASE_ITAPEMA
740283.64,7229867.38,-6604.41,BASE_ITAPEMA
740333.64,7229867.38,-6598.4,BASE_ITAPEMA
740383.64,7229867.38,-6588.56,BASE_ITAPEMA
740433.64,7229867.38,-6576.95,BASE_ITAPEMA
740483.64,7229867.38,-6564.29,BASE_ITAPEMA
740533.64,7229867.38,-6549.55,BASE_ITAPEMA
740583.64,7229867.38,-6533.31,BASE_ITAPEMA
740633.64,7229867.38,-6527.36,BASE_ITAPEMA
740683.64,7229867.38,-6521.6,BASE_ITAPEMA
740733.64,7229867.38,-6507.84,BASE_ITAPEMA
740783.64,7229867.38,-6500.15,BASE_ITAPEMA
740833.64,7229867.38,-6480.13,BASE_ITAPEMA
740883.64,7229867.38,-6461.13,BASE_ITAPEMA
740933.64,7229867.38,-6447.43,BASE_ITAPEMA
740083.64,7229917.38,-6603.75,BASE_ITAPEMA
740133.64,7229917.38,-6603.52,BASE_ITAPEMA
740183.64,7229917.38,-6607.35,BASE_ITAPEMA
740233.64,7229917.38,-6608.68,BASE_ITAPEMA
740283.64,7229917.38,-6603.22,BASE_ITAPEMA
740333.64,7229917.38,-6594.11,BASE_ITAPEMA
740383.64,7229917.38,-6580.42,BASE_ITAPEMA
740433.64,7229917.38,-6567.7,BASE_ITAPEMA
740483.64,7229917.38,-6557.29,BASE_ITAPEMA
740533.64,7229917.38,-6539.16,BASE_ITAPEMA
740583.64,7229917.38,-6522.23,BASE_ITAPEMA
740633.64,7229917.38,-6513.14,BASE_ITAPEMA
740683.64,7229917.38,-6504.09,BASE_ITAPEMA
740733.64,7229917.38,-6493.78,BASE_ITAPEMA
740783.64,7229917.38,-6487.49,BASE_ITAPEMA
740833.64,7229917.38,-6471.52,BASE_ITAPEMA
740883.64,7229917.38,-6453.38,BASE_ITAPEMA
740933.64,7229917.38,-6432.27,BASE_ITAPEMA
740983.64,7229917.38,-6418.3,BASE_ITAPEMA
740033.64,7229967.38,-6607.75,BASE_ITAPEMA
740083.64,7229967.38,-6605.96,BASE_ITAPEMA
740133.64,7229967.38,-6604.54,BASE_ITAPEMA
740183.64,7229967.38,-6605.44,BASE_ITAPEMA
740233.64,7229967.38,-6605.27,BASE_ITAPEMA
740283.64,7229967.38,-6599.4,BASE_ITAPEMA
740333.64,7229967.38,-6588.22,BASE_ITAPEMA
740383.64,7229967.38,-6571.5,BASE_ITAPEMA
740433.64,7229967.38,-6557.21,BASE_ITAPEMA
740483.64,7229967.38,-6546.92,BASE_ITAPEMA
740533.64,7229967.38,-6531.44,BASE_ITAPEMA
740583.64,7229967.38,-6515.82,BASE_ITAPEMA
740633.64,7229967.38,-6505.06,BASE_ITAPEMA
740683.64,7229967.38,-6491.89,BASE_ITAPEMA
740733.64,7229967.38,-6483.76,BASE_ITAPEMA
740783.64,7229967.38,-6479.58,BASE_ITAPEMA
740833.64,7229967.38,-6462.33,BASE_ITAPEMA
740883.64,7229967.38,-6446.22,BASE_ITAPEMA
740933.64,7229967.38,-6423.39,BASE_ITAPEMA
740983.64,7229967.38,-6404.55,BASE_ITAPEMA
739933.64,7230017.38,-6614.1,BASE_ITAPEMA
739983.64,7230017.38,-6607.98,BASE_ITAPEMA
740033.64,7230017.38,-6605.38,BASE_ITAPEMA
740083.64,7230017.38,-6603.43,BASE_ITAPEMA
740133.64,7230017.38,-6599.52,BASE_ITAPEMA
740183.64,7230017.38,-6596.48,BASE_ITAPEMA
740233.64,7230017.38,-6594.19,BASE_ITAPEMA
740283.64,7230017.38,-6588.98,BASE_ITAPEMA
