index	X	Y	Depth
1	740683.64	7229517.38	-6694.09
2	740733.64	7229517.38	-6682.60
3	740633.64	7229567.38	-6685.51
4	740683.64	7229567.38	-6675.88
5	740733.64	7229567.38	-6655.34
6	740583.64	7229617.38	-6654.76
7	740633.64	7229617.38	-6661.83
8	740683.64	7229617.38	-6649.12
9	740733.64	7229617.38	-6622.10
10	740783.64	7229617.38	-6592.77
11	740483.64	7229667.38	-6584.58
12	740533.64	7229667.38	-6614.81
13	740583.64	7229667.38	-6630.34
14	740633.64	7229667.38	-6630.22
15	740683.64	7229667.38	-6615.53
16	740733.64	7229667.38	-6584.39
17	740783.64	7229667.38	-6555.28
18	740833.64	7229667.38	-6537.06
19	740383.64	7229717.38	-6569.50
20	740433.64	7229717.38	-6568.18
21	740483.64	7229717.38	-6575.83
22	740533.64	7229717.38	-6588.70
23	740583.64	7229717.38	-6594.11
24	740633.64	7229717.38	-6593.67
25	740683.64	7229717.38	-6581.72
26	740733.64	7229717.38	-6558.89
27	740783.64	7229717.38	-6539.41
28	740833.64	7229717.38	-6520.86
29	740333.64	7229767.38	-6583.49
30	740383.64	7229767.38	-6581.35
31	740433.64	7229767.38	-6574.62
32	740483.64	7229767.38	-6570.23
33	740533.64	7229767.38	-6569.29
34	740583.64	7229767.38	-6566.99
35	740633.64	7229767.38	-6562.36
36	740683.64	7229767.38	-6555.49
37	740733.64	7229767.38	-6535.97
38	740783.64	7229767.38	-6522.06
39	740833.64	7229767.38	-6501.65
40	740883.64	7229767.38	-6487.00
41	740283.64	7229817.38	-6600.27
42	740333.64	7229817.38	-6595.22
43	740383.64	7229817.38	-6588.39
44	740433.64	7229817.38	-6578.61
45	740483.64	7229817.38	-6567.83
46	740533.64	7229817.38	-6558.93
47	740583.64	7229817.38	-6549.35
48	740633.64	7229817.38	-6545.39
49	740683.64	7229817.38	-6540.09
50	740733.64	7229817.38	-6522.41
51	740783.64	7229817.38	-6509.81
52	740833.64	7229817.38	-6488.94
53	740883.64	7229817.38	-6470.12
54	740933.64	7229817.38	-6458.82
55	740183.64	7229867.38	-6609.37
56	740233.64	7229867.38	-6610.48
57	740283.64	7229867.38	-6604.41
58	740333.64	7229867.38	-6598.40
59	740383.64	7229867.38	-6588.56
60	740433.64	7229867.38	-6576.95
61	740483.64	7229867.38	-6564.29
62	740533.64	7229867.38	-6549.55
63	740583.64	7229867.38	-6533.31
64	740633.64	7229867.38	-6527.36
65	740683.64	7229867.38	-6521.60
66	740733.64	7229867.38	-6507.84
67	740783.64	7229867.38	-6500.15
68	740833.64	7229867.38	-6480.13
69	740883.64	7229867.38	-6461.13
70	740933.64	7229867.38	-6447.43
71	740083.64	7229917.38	-6603.75
72	740133.64	7229917.38	-6603.52
73	740183.64	7229917.38	-6607.35
74	740233.64	7229917.38	-6608.68
75	740283.64	7229917.38	-6603.22
76	740333.64	7229917.38	-6594.11
77	740383.64	7229917.38	-6580.42
78	740433.64	7229917.38	-6567.70
79	740483.64	7229917.38	-6557.29
80	740533.64	7229917.38	-6539.16
81	740583.64	7229917.38	-6522.23
82	740633.64	7229917.38	-6513.14
83	740683.64	7229917.38	-6504.09
84	740733.64	7229917.38	-6493.78
85	740783.64	7229917.38	-6487.49
86	740833.64	7229917.38	-6471.52
87	740883.64	7229917.38	-6453.38
88	740933.64	7229917.38	-6432.27
89	740983.64	7229917.38	-6418.30
90	740033.64	7229967.38	-6607.75
