index	X	Y	Depth
1	740683.64	7229517.38	-6276.03
2	740733.64	7229517.38	-6271.68
3	740633.64	7229567.38	-6283.26
4	740683.64	7229567.38	-6280.43
5	740733.64	7229567.38	-6275.82
6	740583.64	7229617.38	-6294.74
7	740633.64	7229617.38	-6286.99
8	740683.64	7229617.38	-6282.29
9	740733.64	7229617.38	-6275.92
10	740783.64	7229617.38	-6268.19
11	740483.64	7229667.38	-6306.24
12	740533.64	7229667.38	-6302.05
13	740583.64	7229667.38	-6297.04
14	740633.64	7229667.38	-6290.48
15	740683.64	7229667.38	-6284.23
16	740733.64	7229667.38	-6275.41
17	740783.64	7229667.38	-6262.03
18	740833.64	7229667.38	-6249.67
19	740383.64	7229717.38	-6318.65
20	740433.64	7229717.38	-6312.21
21	740483.64	7229717.38	-6305.58
22	740533.64	7229717.38	-6300.52
23	740583.64	7229717.38	-6294.28
24	740633.64	7229717.38	-6286.67
25	740683.64	7229717.38	-6279.06
26	740733.64	7229717.38	-6267.85
27	740783.64	7229717.38	-6250.29
28	740833.64	7229717.38	-6232.17
29	740333.64	7229767.38	-6321.48
30	740383.64	7229767.38	-6316.26
31	740433.64	7229767.38	-6310.11
32	740483.64	7229767.38	-6303.70
33	740533.64	7229767.38	-6296.59
34	740583.64	7229767.38	-6287.95
35	740633.64	7229767.38	-6278.33
36	740683.64	7229767.38	-6269.20
37	740733.64	7229767.38	-6256.22
38	740783.64	7229767.38	-6235.00
39	740833.64	7229767.38	-6212.20
40	740883.64	7229767.38	-6189.21
41	740283.64	7229817.38	-6329.02
42	740333.64	7229817.38	-6319.82
43	740383.64	7229817.38	-6312.81
44	740433.64	7229817.38	-6305.39
45	740483.64	7229817.38	-6297.85
46	740533.64	7229817.38	-6288.86
47	740583.64	7229817.38	-6278.11
48	740633.64	7229817.38	-6266.62
49	740683.64	7229817.38	-6255.34
50	740733.64	7229817.38	-6240.48
51	740783.64	7229817.38	-6218.69
52	740833.64	7229817.38	-6195.55
53	740883.64	7229817.38	-6170.49
54	740933.64	7229817.38	-6145.87
55	740183.64	7229867.38	-6346.61
56	740233.64	7229867.38	-6335.85
57	740283.64	7229867.38	-6326.67
58	740333.64	7229867.38	-6316.86
59	740383.64	7229867.38	-6307.64
60	740433.64	7229867.38	-6297.72
61	740483.64	7229867.38	-6289.01
62	740533.64	7229867.38	-6278.95
63	740583.64	7229867.38	-6267.09
64	740633.64	7229867.38	-6254.35
65	740683.64	7229867.38	-6241.12
66	740733.64	7229867.38	-6225.51
67	740783.64	7229867.38	-6206.58
68	740833.64	7229867.38	-6184.76
69	740883.64	7229867.38	-6160.63
70	740933.64	7229867.38	-6137.27
71	740083.64	7229917.38	-6362.21
72	740133.64	7229917.38	-6352.93
73	740183.64	7229917.38	-6343.86
74	740233.64	7229917.38	-6333.07
75	740283.64	7229917.38	-6323.40
76	740333.64	7229917.38	-6312.50
77	740383.64	7229917.38	-6300.59
78	740433.64	7229917.38	-6289.53
79	740483.64	7229917.38	-6280.02
80	740533.64	7229917.38	-6269.50
81	740583.64	7229917.38	-6257.57
82	740633.64	7229917.38	-6244.29
83	740683.64	7229917.38	-6229.31
84	740733.64	7229917.38	-6214.07
85	740783.64	7229917.38	-6198.35
86	740833.64	7229917.38	-6177.84
87	740883.64	7229917.38	-6152.43
88	740933.64	7229917.38	-6128.25
89	740983.64	7229917.38	-6106.42
90	740033.64	7229967.38	-6365.93
91	740083.64	7229967.38	-6358.25
92	740133.64	7229967.38	-6349.11
93	740183.64	7229967.38	-6340.20
94	740233.64	7229967.38	-6328.86
95	740283.64	7229967.38	-6318.07
96	740333.64	7229967.38	-6307.03
97	740383.64	7229967.38	-6294.56
98	740433.64	7229967.38	-6283.13
99	740483.64	7229967.38	-6273.35
100	740533.64	7229967.38	-6262.65
101	740583.64	7229967.38	-6250.89
102	740633.64	7229967.38	-6237.38
103	740683.64	7229967.38	-6220.28
104	740733.64	7229967.38	-6204.19
105	740783.64	7229967.38	-6190.36
106	740833.64	7229967.38	-6172.44
107	740883.64	7229967.38	-6146.71
108	740933.64	7229967.38	-6121.34
109	740983.64	7229967.38	-6096.31
110	739933.64	7230017.38	-6372.99
111	739983.64	7230017.38	-6368.05
112	740033.64	7230017.38	-6361.05
113	740083.64	7230017.38	-6353.73
114	740133.64	7230017.38	-6344.32
115	740183.64	7230017.38	-6334.23
116	740233.64	7230017.38	-6322.62
117	740283.64	7230017.38	-6311.79
118	740333.64	7230017.38	-6300.84
119	740383.64	7230017.38	-6289.11
120	740433.64	7230017.38	-6278.82
121	740483.64	7230017.38	-6268.97
122	740533.64	7230017.38	-6257.57
123	740583.64	7230017.38	-6245.53
124	740633.64	7230017.38	-6231.47
125	740683.64	7230017.38	-6213.38
126	740733.64	7230017.38	-6194.83
127	740783.64	7230017.38	-6180.13
128	740833.64	7230017.38	-6161.35
129	740883.64	7230017.38	-6137.91
130	740933.64	7230017.38	-6113.51
131	740983.64	7230017.38	-6090.07
132	741033.64	7230017.38	-6069.52
133	739883.64	7230067.38	-6375.73
134	739933.64	7230067.38	-6369.70
135	739983.64	7230067.38	-6363.11
136	740033.64	7230067.38	-6355.44
137	740083.64	7230067.38	-6348.19
138	740133.64	7230067.38	-6338.66
139	740183.64	7230067.38	-6328.06
140	740233.64	7230067.38	-6316.93
141	740283.64	7230067.38	-6306.12
142	740333.64	7230067.38	-6295.97
143	740383.64	7230067.38	-6286.32
144	740433.64	7230067.38	-6276.89
145	740483.64	7230067.38	-6266.19
146	740533.64	7230067.38	-6252.87
147	740583.64	7230067.38	-6238.40
148	740633.64	7230067.38	-6223.52
149	740683.64	7230067.38	-6207.33
150	740733.64	7230067.38	-6187.16
151	740783.64	7230067.38	-6168.77
152	740833.64	7230067.38	-6148.92
153	740883.64	7230067.38	-6127.04
154	740933.64	7230067.38	-6105.54
155	740983.64	7230067.38	-6087.64
156	741033.64	7230067.38	-6075.18
157	741083.64	7230067.38	-6065.22
158	739783.64	7230117.38	-6384.26
159	739833.64	7230117.38	-6379.73
160	739883.64	7230117.38	-6372.64
161	739933.64	7230117.38	-6364.80
162	739983.64	7230117.38	-6356.50
163	740033.64	7230117.38	-6347.77
164	740083.64	7230117.38	-6340.91
165	740133.64	7230117.38	-6332.87
166	740183.64	7230117.38	-6323.06
167	740233.64	7230117.38	-6312.02
168	740283.64	7230117.38	-6302.28
169	740333.64	7230117.38	-6292.91
170	740383.64	7230117.38	-6284.58
171	740433.64	7230117.38	-6275.79
172	740483.64	7230117.38	-6264.40
173	740533.64	7230117.38	-6248.16
174	740583.64	7230117.38	-6230.26
175	740633.64	7230117.38	-6212.49
176	740683.64	7230117.38	-6196.50
177	740733.64	7230117.38	-6176.72
178	740783.64	7230117.38	-6158.05
179	740833.64	7230117.38	-6139.63
180	740883.64	7230117.38	-6122.85
181	740933.64	7230117.38	-6105.59
182	740983.64	7230117.38	-6091.42
183	741033.64	7230117.38	-6084.77
184	741083.64	7230117.38	-6081.27
185	741133.64	7230117.38	-6077.01
186	739733.64	7230167.38	-6380.75
187	739783.64	7230167.38	-6379.75
188	739833.64	7230167.38	-6374.45
189	739883.64	7230167.38	-6367.14
190	739933.64	7230167.38	-6358.23
191	739983.64	7230167.38	-6348.43
192	740033.64	7230167.38	-6339.63
193	740083.64	7230167.38	-6333.87
194	740133.64	7230167.38	-6327.61
195	740183.64	7230167.38	-6319.02
196	740233.64	7230167.38	-6308.94
197	740283.64	7230167.38	-6299.43
198	740333.64	7230167.38	-6289.81
199	740383.64	7230167.38	-6281.36
200	740433.64	7230167.38	-6271.56
201	740483.64	7230167.38	-6259.06
202	740533.64	7230167.38	-6241.73
203	740583.64	7230167.38	-6220.42
204	740633.64	7230167.38	-6200.46
205	740683.64	7230167.38	-6185.36
206	740733.64	7230167.38	-6167.69
207	740783.64	7230167.38	-6150.94
208	740833.64	7230167.38	-6136.15
209	740883.64	7230167.38	-6124.05
210	740933.64	7230167.38	-6111.96
211	740983.64	7230167.38	-6103.23
212	741033.64	7230167.38	-6098.36
213	741083.64	7230167.38	-6096.60
214	741133.64	7230167.38	-6092.54
215	739683.64	7230217.38	-6374.20
216	739733.64	7230217.38	-6373.89
217	739783.64	7230217.38	-6371.85
218	739833.64	7230217.38	-6366.17
219	739883.64	7230217.38	-6358.62
220	739933.64	7230217.38	-6350.36
221	739983.64	7230217.38	-6341.19
222	740033.64	7230217.38	-6332.66
223	740083.64	7230217.38	-6326.86
224	740133.64	7230217.38	-6321.69
225	740183.64	7230217.38	-6314.37
226	740233.64	7230217.38	-6305.36
227	740283.64	7230217.38	-6295.93
228	740333.64	7230217.38	-6286.06
229	740383.64	7230217.38	-6276.15
230	740433.64	7230217.38	-6264.27
231	740483.64	7230217.38	-6249.77
232	740533.64	7230217.38	-6231.53
233	740583.64	7230217.38	-6209.47
234	740633.64	7230217.38	-6189.06
235	740683.64	7230217.38	-6176.03
236	740733.64	7230217.38	-6162.17
237	740783.64	7230217.38	-6148.87
238	740833.64	7230217.38	-6137.88
239	740883.64	7230217.38	-6131.26
240	740933.64	7230217.38	-6122.12
241	740983.64	7230217.38	-6115.70
242	741033.64	7230217.38	-6109.82
243	741083.64	7230217.38	-6105.60
244	741133.64	7230217.38	-6100.99
245	741183.64	7230217.38	-6097.87
246	739583.64	7230267.38	-6366.04
247	739633.64	7230267.38	-6368.14
248	739683.64	7230267.38	-6367.22
249	739733.64	7230267.38	-6365.45
250	739783.64	7230267.38	-6362.17
251	739833.64	7230267.38	-6356.02
252	739883.64	7230267.38	-6349.09
253	739933.64	7230267.38	-6342.72
254	739983.64	7230267.38	-6335.37
255	740033.64	7230267.38	-6327.60
256	740083.64	7230267.38	-6321.33
257	740133.64	7230267.38	-6316.01
258	740183.64	7230267.38	-6309.37
259	740233.64	7230267.38	-6301.02
260	740283.64	7230267.38	-6291.47
261	740333.64	7230267.38	-6280.93
262	740383.64	7230267.38	-6269.62
263	740433.64	7230267.38	-6255.28
264	740483.64	7230267.38	-6239.37
265	740533.64	7230267.38	-6222.02
266	740583.64	7230267.38	-6201.08
267	740633.64	7230267.38	-6182.04
268	740683.64	7230267.38	-6170.18
269	740733.64	7230267.38	-6160.49
270	740783.64	7230267.38	-6151.71
271	740833.64	7230267.38	-6145.72
272	740883.64	7230267.38	-6140.42
273	740933.64	7230267.38	-6131.09
274	740983.64	7230267.38	-6122.56
275	741033.64	7230267.38	-6113.98
276	741083.64	7230267.38	-6105.38
277	741133.64	7230267.38	-6098.25
278	741183.64	7230267.38	-6097.02
279	739483.64	7230317.38	-6352.15
280	739533.64	7230317.38	-6354.80
281	739583.64	7230317.38	-6356.64
282	739633.64	7230317.38	-6358.28
283	739683.64	7230317.38	-6356.99
284	739733.64	7230317.38	-6354.50
285	739783.64	7230317.38	-6350.69
286	739833.64	7230317.38	-6345.57
287	739883.64	7230317.38	-6340.21
