X,Y,Z,formation
100,500,1000,SeaFloor
400,500,800,SeaFloor
600,500,800,SeaFloor
1000,500,650,SeaFloor
1400,500,800,SeaFloor
1600,500,800,SeaFloor
1900,500,1000,SeaFloor
100,500,750,f1
400,500,550,f1
600,500,550,f1
1000,500,450,f1
1400,500,550,f1
1600,500,550,f1
1900,500,750,f1
100,500,450,f2
400,500,250,f2
600,500,250,f2
1000,500,150,f2
1400,500,250,f2
1600,500,250,f2
1900,500,450,f2
100,500,200,f3
400,500,50,f3
600,500,50,f3
1000,500,0,f3
1400,500,50,f3
1600,500,50,f3
1900,500,200,f3
100,-500,1000,SeaFloor
400,-500,800,SeaFloor
600,-500,800,SeaFloor
1000,-500,650,SeaFloor
1400,-500,800,SeaFloor
1600,-500,800,SeaFloor
1900,-500,1000,SeaFloor
100,-500,750,f1
400,-500,550,f1
600,-500,550,f1
1000,-500,450,f1
1400,-500,550,f1
1600,-500,550,f1
1900,-500,750,f1
100,-500,450,f2
400,-500,250,f2
600,-500,250,f2
1000,-500,150,f2
1400,-500,250,f2
1600,-500,250,f2
1900,-500,450,f2
100,-500,200,f3
400,-500,50,f3
600,-500,50,f3
1000,-500,0,f3
1400,-500,50,f3
1600,-500,50,f3
1900,-500,200,f3
1000,2000,1200,SeaFloor
1000,-2000,1200,SeaFloor
1000,2000,1180,f1
1000,-2000,1180,f1
1000,2000,1160,f2
1000,-2000,1160,f2
1000,2000,1140,f3
1000,-2000,1140,f3
0,0,1200,SeaFloor
2000,0,1200,SeaFloor
0,0,1180,f1
2000,0,1180,f1
0,0,1160,f2
2000,0,1160,f2
0,0,1140,f3
2000,0,1140,f3
