X,Y,Z,azimuth,dip,polarity,formation
7037440,322628,989457,263.276747,0.,1,FM_IGUAPE
7037440,322628,1229639,83.276747,0.,1,FM_MARAMBAIA
7037440,322628,1689278,83277,0.,1,FM_MARAMBAIA
7037440,322628,2162251,258.305884,0.,1,FM_MARAMBAIA
7037440,322628,2620061,258.45384,0.,1,FM_MARAMBAIA
7037440,322628,3090062,258.181256,0.,1,FM_JUREIA
7037440,322628,3546958,78.277337,0.,1,FM_JUREIA
7037440,322628,4014673,83277,0.,1,FM_ITAJAI_ACU
7037440,322628,4455593,83277,0.,1,FM_ITAJAI_ACU
7037440,322628,4694.7,72584,0.,1,FM_ITANHAEM
7037440,322628,5037.75,88101,0.,1,FM_GUARUJA
