X,Y,Z,formation
444546,7967929,390.77,top
446406,7978062,430.2,top
459507,7994012,97.2,top
426016,7927352,403,top
436441,7831586,120,top
417924,7822281,405,top
438626,7913022,503,top
426588,7835803,501.4,top
450490,7824662,490.2,top
420386,7831067,438,top
427271,7820255,1100,top
419549,7824812,397.8,top
431262,7876853,531.11,top
454619,7874132,455.2,top
438186,7874008,499.2,top
454957,7924064,492.2,top
423066,7835924,593.2,top
434453,7851895,603,top
421977,7828449,321.2,top
429762,7921962,490.4,top
448995,7742444,1880.6,top
446803,7719724,2062.5,top
454941,7795356,1537,top
429018,7788053,2108.1,top
435354,7798425,860.98,top
447734,7794132,1542,top
443962,7787825,2425,top
448203,7748990,2430.4,top
453088,7683096,2119.89,top
466872,7786467,2424.99,top
444546,7967929,3380.27,bot
446406,7978062,2918,bot
459507,7994012,3997.8,bot
426016,7927352,3094,bot
436441,7831586,4810,bot
417924,7822281,2901,bot
438626,7913022,3884.8,bot
426588,7835803,3709.6,bot
450490,7824662,5244.8,bot
420386,7831067,3840.4,bot
427271,7820255,3949.6,bot
419549,7824812,3504,bot
431262,7876853,3849.93,bot
454619,7874132,5403.6,bot
438186,7874008,5005.8,bot
454957,7924064,4017.8,bot
423066,7835924,3470.8,bot
434453,7851895,4250.8,bot
421977,7828449,2959.8,bot
429762,7921962,3628.6,bot
448995,7742444,5405.73,bot
446803,7719724,6413.6,bot
454941,7795356,5197.8,bot
429018,7788053,4106.9,bot
435354,7798425,4659.02,bot
447734,7794132,5640.9,bot
443962,7787825,4697.8,bot
448203,7748990,5555.06,bot
453088,7683096,5043.38,bot
466872,7786467,5587.14,bot
