X,Y,Z,formation
405000,7655000,-4844,FM24
410000,7655000,-5237,FM24
415000,7655000,-5415,FM24
420000,7655000,-5374,FM24
425000,7655000,-5327,FM24
430000,7655000,-5325,FM24
435000,7655000,-5541,FM24
440000,7655000,-5685,FM24
445000,7655000,-5780,FM24
450000,7655000,-5773,FM24
455000,7655000,-5564,FM24
460000,7655000,-5554,FM24
465000,7655000,-5213,FM24
470000,7655000,-4186,FM24
475000,7655000,-4030,FM24
480000,7655000,-5296,FM24
485000,7655000,-6063,FM24
490000,7655000,-5790,FM24
495000,7655000,-5103,FM24
500000,7655000,-5092,FM24
505000,7655000,-4896,FM24
510000,7655000,-4251,FM24
515000,7655000,-5047,FM24
520000,7655000,-6450,FM24
525000,7655000,-6960,FM24
530000,7655000,-6786,FM24
535000,7655000,-6309,FM24
540000,7655000,-5364,FM24
545000,7655000,-4637,FM24
550000,7655000,-5207,FM24
555000,7655000,-6609,FM24
560000,7655000,-7274,FM24
565000,7655000,-7144,FM24
570000,7655000,-6934,FM24
575000,7655000,-6792,FM24
405000,7660000,-4766,FM24
410000,7660000,-5137,FM24
415000,7660000,-5447,FM24
420000,7660000,-5381,FM24
425000,7660000,-5316,FM24
430000,7660000,-5360,FM24
435000,7660000,-5438,FM24
440000,7660000,-5556,FM24
445000,7660000,-5516,FM24
450000,7660000,-5222,FM24
455000,7660000,-5289,FM24
460000,7660000,-5426,FM24
465000,7660000,-5198,FM24
470000,7660000,-4512,FM24
475000,7660000,-4255,FM24
480000,7660000,-5455,FM24
485000,7660000,-5695,FM24
490000,7660000,-5017,FM24
495000,7660000,-4883,FM24
500000,7660000,-5521,FM24
505000,7660000,-5464,FM24
510000,7660000,-4262,FM24
515000,7660000,-4562,FM24
520000,7660000,-6267,FM24
525000,7660000,-6841,FM24
530000,7660000,-6526,FM24
535000,7660000,-6225,FM24
540000,7660000,-5313,FM24
545000,7660000,-4888,FM24
550000,7660000,-5287,FM24
555000,7660000,-6467,FM24
560000,7660000,-7505,FM24
565000,7660000,-7560,FM24
570000,7660000,-7313,FM24
575000,7660000,-7231,FM24
405000,7665000,-4671,FM24
410000,7665000,-4967,FM24
415000,7665000,-5296,FM24
420000,7665000,-5388,FM24
425000,7665000,-5381,FM24
430000,7665000,-5256,FM24
435000,7665000,-5243,FM24
440000,7665000,-5494,FM24
445000,7665000,-5307,FM24
450000,7665000,-4985,FM24
455000,7665000,-5567,FM24
460000,7665000,-5885,FM24
465000,7665000,-5514,FM24
470000,7665000,-5385,FM24
475000,7665000,-5075,FM24
480000,7665000,-5410,FM24
485000,7665000,-5505,FM24
490000,7665000,-5192,FM24
495000,7665000,-5413,FM24
500000,7665000,-6586,FM24
505000,7665000,-6737,FM24
510000,7665000,-4863,FM24
515000,7665000,-4424,FM24
520000,7665000,-5911,FM24
525000,7665000,-6377,FM24
530000,7665000,-6592,FM24
535000,7665000,-7004,FM24
540000,7665000,-5859,FM24
545000,7665000,-5245,FM24
550000,7665000,-5382,FM24
555000,7665000,-6196,FM24
560000,7665000,-7382,FM24
565000,7665000,-7655,FM24
570000,7665000,-7389,FM24
575000,7665000,-7292,FM24
405000,7670000,-4323,FM24
410000,7670000,-4672,FM24
415000,7670000,-5126,FM24
420000,7670000,-5383,FM24
425000,7670000,-5406,FM24
430000,7670000,-5262,FM24
435000,7670000,-5300,FM24
440000,7670000,-5552,FM24
445000,7670000,-5315,FM24
450000,7670000,-5165,FM24
455000,7670000,-5808,FM24
460000,7670000,-6120,FM24
465000,7670000,-5707,FM24
470000,7670000,-5923,FM24
475000,7670000,-5864,FM24
480000,7670000,-5675,FM24
485000,7670000,-6091,FM24
490000,7670000,-5801,FM24
495000,7670000,-5774,FM24
500000,7670000,-6990,FM24
505000,7670000,-6839,FM24
510000,7670000,-5057,FM24
515000,7670000,-4670,FM24
520000,7670000,-5572,FM24
525000,7670000,-5848,FM24
530000,7670000,-6667,FM24
535000,7670000,-7751,FM24
540000,7670000,-6678,FM24
545000,7670000,-5513,FM24
550000,7670000,-5630,FM24
555000,7670000,-6235,FM24
560000,7670000,-6943,FM24
565000,7670000,-7195,FM24
570000,7670000,-7055,FM24
575000,7670000,-7024,FM24
405000,7675000,-3969,FM24
410000,7675000,-4334,FM24
415000,7675000,-4909,FM24
420000,7675000,-5290,FM24
425000,7675000,-5377,FM24
430000,7675000,-5380,FM24
435000,7675000,-5441,FM24
440000,7675000,-5555,FM24
445000,7675000,-5403,FM24
450000,7675000,-5455,FM24
455000,7675000,-5953,FM24
460000,7675000,-6172,FM24
465000,7675000,-5628,FM24
470000,7675000,-5739,FM24
475000,7675000,-6121,FM24
480000,7675000,-5750,FM24
485000,7675000,-6235,FM24
490000,7675000,-6078,FM24
495000,7675000,-6142,FM24
500000,7675000,-6782,FM24
505000,7675000,-5778,FM24
510000,7675000,-4677,FM24
515000,7675000,-4684,FM24
520000,7675000,-5562,FM24
525000,7675000,-6136,FM24
530000,7675000,-6990,FM24
535000,7675000,-7902,FM24
540000,7675000,-6987,FM24
545000,7675000,-5704,FM24
550000,7675000,-5664,FM24
555000,7675000,-6264,FM24
560000,7675000,-6835,FM24
565000,7675000,-7008,FM24
570000,7675000,-6889,FM24
575000,7675000,-7024,FM24
405000,7680000,-3812,FM24
410000,7680000,-4117,FM24
415000,7680000,-4609,FM24
420000,7680000,-5069,FM24
425000,7680000,-5281,FM24
430000,7680000,-5309,FM24
435000,7680000,-5317,FM24
440000,7680000,-5472,FM24
445000,7680000,-5664,FM24
450000,7680000,-5757,FM24
455000,7680000,-5824,FM24
460000,7680000,-5954,FM24
465000,7680000,-5528,FM24
470000,7680000,-5542,FM24
475000,7680000,-6061,FM24
480000,7680000,-5616,FM24
485000,7680000,-5963,FM24
490000,7680000,-6025,FM24
495000,7680000,-6308,FM24
500000,7680000,-6726,FM24
505000,7680000,-6088,FM24
510000,7680000,-5530,FM24
515000,7680000,-5157,FM24
520000,7680000,-5923,FM24
525000,7680000,-6365,FM24
530000,7680000,-6996,FM24
535000,7680000,-7969,FM24
540000,7680000,-7469,FM24
545000,7680000,-6411,FM24
550000,7680000,-6342,FM24
555000,7680000,-6847,FM24
560000,7680000,-7121,FM24
565000,7680000,-7168,FM24
570000,7680000,-7082,FM24
575000,7680000,-7313,FM24
405000,7685000,-3645,FM24
410000,7685000,-3925,FM24
415000,7685000,-4320,FM24
