X,Y,Z,formation
402500,7652500,1503.795776,top
407500,7652500,1574.793213,top
412500,7652500,1645.836182,top
417500,7652500,1720.242554,top
422500,7652500,1786.352783,top
427500,7652500,1860.855713,top
432500,7652500,1933.107910,top
437500,7652500,2015.945679,top
442500,7652500,2075.871338,top
447500,7652500,2112.921875,top
452500,7652500,2156.143799,top
457500,7652500,2194.041016,top
462500,7652500,2218.250000,top
467500,7652500,2180.319824,top
472500,7652500,2147.306396,top
477500,7652500,2258.324219,top
482500,7652500,2383.494873,top
487500,7652500,2418.292236,top
492500,7652500,2418.400146,top
497500,7652500,2422.588623,top
502500,7652500,2513.813477,top
507500,7652500,2528.937744,top
512500,7652500,2515.937988,top
517500,7652500,2641.275391,top
522500,7652500,2721.546875,top
527500,7652500,2751.678955,top
532500,7652500,2806.912354,top
537500,7652500,2793.011963,top
542500,7652500,2774.278076,top
547500,7652500,2820.308838,top
552500,7652500,2877.226562,top
557500,7652500,3156.119873,top
562500,7652500,3399.838867,top
567500,7652500,3370.369141,top
572500,7652500,3338.829834,top
577500,7652500,3374.183105,top
402500,7657500,1514.435913,top
407500,7657500,1575.573608,top
412500,7657500,1636.260132,top
417500,7657500,1698.516479,top
422500,7657500,1762.246704,top
427500,7657500,1835.543091,top
432500,7657500,1893.580200,top
437500,7657500,1955.812866,top
442500,7657500,2022.168945,top
447500,7657500,2083.593994,top
452500,7657500,2122.967773,top
457500,7657500,2169.593506,top
462500,7657500,2194.445312,top
467500,7657500,2220.572021,top
472500,7657500,2162.717773,top
477500,7657500,2186.786377,top
482500,7657500,2358.941406,top
487500,7657500,2412.945801,top
492500,7657500,2398.932129,top
497500,7657500,2403.338867,top
502500,7657500,2500.855469,top
507500,7657500,2483.771973,top
512500,7657500,2442.872314,top
517500,7657500,2676.281006,top
522500,7657500,2645.247803,top
527500,7657500,2660.584961,top
532500,7657500,2812.412354,top
537500,7657500,2828.718750,top
542500,7657500,2805.862061,top
547500,7657500,2879.377686,top
552500,7657500,2904.871826,top
557500,7657500,3190.979004,top
562500,7657500,3504.460449,top
567500,7657500,3327.834473,top
572500,7657500,3295.246826,top
577500,7657500,3343.970703,top
402500,7662500,1529.191406,top
407500,7662500,1583.233032,top
412500,7662500,1634.667603,top
417500,7662500,1695.466797,top
422500,7662500,1754.419922,top
427500,7662500,1825.526001,top
432500,7662500,1892.402832,top
437500,7662500,1949.017456,top
442500,7662500,1991.339722,top
447500,7662500,2030.660522,top
452500,7662500,2080.699463,top
457500,7662500,2152.450439,top
462500,7662500,2191.292480,top
467500,7662500,2220.749023,top
472500,7662500,2190.286377,top
477500,7662500,2177.146484,top
482500,7662500,2368.890137,top
487500,7662500,2400.682861,top
492500,7662500,2418.807373,top
497500,7662500,2394.840332,top
502500,7662500,2486.711914,top
507500,7662500,2496.615723,top
512500,7662500,2443.567871,top
517500,7662500,2495.060547,top
522500,7662500,2561.169189,top
527500,7662500,2626.216553,top
532500,7662500,2832.213867,top
537500,7662500,2843.233887,top
542500,7662500,2804.203613,top
547500,7662500,2859.892822,top
552500,7662500,2907.215332,top
557500,7662500,3206.702393,top
562500,7662500,3510.395996,top
567500,7662500,3274.031006,top
572500,7662500,3245.702881,top
577500,7662500,3278.075928,top
402500,7667500,1549.281860,top
407500,7667500,1608.315552,top
412500,7667500,1654.628784,top
417500,7667500,1705.956787,top
422500,7667500,1760.840332,top
427500,7667500,1814.585693,top
432500,7667500,1876.115112,top
437500,7667500,1940.610840,top
442500,7667500,1977.967896,top
447500,7667500,2006.076538,top
452500,7667500,2087.067627,top
457500,7667500,2164.023193,top
462500,7667500,2194.370361,top
467500,7667500,2215.400635,top
472500,7667500,2242.107178,top
477500,7667500,2233.297119,top
482500,7667500,2334.683594,top
487500,7667500,2383.079102,top
492500,7667500,2411.992432,top
497500,7667500,2333.036621,top
502500,7667500,2442.788086,top
507500,7667500,2487.037109,top
512500,7667500,2455.306641,top
517500,7667500,2525.202393,top
522500,7667500,2564.471680,top
527500,7667500,2647.692383,top
532500,7667500,2854.801025,top
537500,7667500,2858.678955,top
542500,7667500,2843.035645,top
547500,7667500,2858.657227,top
552500,7667500,2937.548584,top
557500,7667500,3019.594238,top
562500,7667500,3244.462891,top
567500,7667500,3224.608154,top
572500,7667500,3213.824707,top
577500,7667500,3234.350830,top
402500,7672500,1566.138062,top
407500,7672500,1626.686646,top
412500,7672500,1661.651733,top
417500,7672500,1708.788330,top
422500,7672500,1754.805054,top
427500,7672500,1816.552002,top
432500,7672500,1878.583984,top
437500,7672500,1933.582031,top
442500,7672500,1984.450439,top
447500,7672500,2020.449219,top
452500,7672500,2095.448975,top
457500,7672500,2148.688965,top
