X,Y,Z,formation
405000,7655000,4844,24
410000,7655000,5237,24
415000,7655000,5415,24
420000,7655000,5374,24
425000,7655000,5327,24
430000,7655000,5325,24
435000,7655000,5541,24
440000,7655000,5685,24
445000,7655000,5780,24
450000,7655000,5773,24
455000,7655000,5564,24
460000,7655000,5554,24
465000,7655000,5213,24
470000,7655000,4186,24
475000,7655000,4030,24
480000,7655000,5296,24
485000,7655000,6063,24
490000,7655000,5790,24
495000,7655000,5103,24
500000,7655000,5092,24
505000,7655000,4896,24
510000,7655000,4251,24
515000,7655000,5047,24
520000,7655000,6450,24
525000,7655000,6960,24
530000,7655000,6786,24
535000,7655000,6309,24
540000,7655000,5364,24
545000,7655000,4637,24
550000,7655000,5207,24
555000,7655000,6609,24
560000,7655000,7274,24
565000,7655000,7144,24
570000,7655000,6934,24
575000,7655000,6792,24
405000,7660000,4766,24
410000,7660000,5137,24
415000,7660000,5447,24
420000,7660000,5381,24
425000,7660000,5316,24
430000,7660000,5360,24
435000,7660000,5438,24
440000,7660000,5556,24
445000,7660000,5516,24
450000,7660000,5222,24
455000,7660000,5289,24
460000,7660000,5426,24
465000,7660000,5198,24
470000,7660000,4512,24
475000,7660000,4255,24
480000,7660000,5455,24
485000,7660000,5695,24
490000,7660000,5017,24
495000,7660000,4883,24
500000,7660000,5521,24
505000,7660000,5464,24
510000,7660000,4262,24
515000,7660000,4562,24
520000,7660000,6267,24
525000,7660000,6841,24
530000,7660000,6526,24
535000,7660000,6225,24
540000,7660000,5313,24
545000,7660000,4888,24
550000,7660000,5287,24
555000,7660000,6467,24
560000,7660000,7505,24
565000,7660000,7560,24
570000,7660000,7313,24
575000,7660000,7231,24
405000,7665000,4671,24
410000,7665000,4967,24
415000,7665000,5296,24
420000,7665000,5388,24
425000,7665000,5381,24
430000,7665000,5256,24
435000,7665000,5243,24
440000,7665000,5494,24
445000,7665000,5307,24
450000,7665000,4985,24
455000,7665000,5567,24
460000,7665000,5885,24
465000,7665000,5514,24
470000,7665000,5385,24
475000,7665000,5075,24
480000,7665000,5410,24
485000,7665000,5505,24
490000,7665000,5192,24
495000,7665000,5413,24
500000,7665000,6586,24
505000,7665000,6737,24
510000,7665000,4863,24
515000,7665000,4424,24
520000,7665000,5911,24
525000,7665000,6377,24
530000,7665000,6592,24
535000,7665000,7004,24
540000,7665000,5859,24
545000,7665000,5245,24
550000,7665000,5382,24
555000,7665000,6196,24
560000,7665000,7382,24
565000,7665000,7655,24
570000,7665000,7389,24
575000,7665000,7292,24
405000,7670000,4323,24
410000,7670000,4672,24
415000,7670000,5126,24
420000,7670000,5383,24
425000,7670000,5406,24
430000,7670000,5262,24
435000,7670000,5300,24
440000,7670000,5552,24
445000,7670000,5315,24
450000,7670000,5165,24
455000,7670000,5808,24
460000,7670000,6120,24
465000,7670000,5707,24
470000,7670000,5923,24
475000,7670000,5864,24
480000,7670000,5675,24
485000,7670000,6091,24
490000,7670000,5801,24
495000,7670000,5774,24
500000,7670000,6990,24
505000,7670000,6839,24
510000,7670000,5057,24
515000,7670000,4670,24
520000,7670000,5572,24
525000,7670000,5848,24
530000,7670000,6667,24
535000,7670000,7751,24
540000,7670000,6678,24
545000,7670000,5513,24
550000,7670000,5630,24
555000,7670000,6235,24
560000,7670000,6943,24
565000,7670000,7195,24
570000,7670000,7055,24
575000,7670000,7024,24
405000,7675000,3969,24
410000,7675000,4334,24
415000,7675000,4909,24
420000,7675000,5290,24
425000,7675000,5377,24
430000,7675000,5380,24
435000,7675000,5441,24
440000,7675000,5555,24
445000,7675000,5403,24
450000,7675000,5455,24
455000,7675000,5953,24
460000,7675000,6172,24
465000,7675000,5628,24
470000,7675000,5739,24
475000,7675000,6121,24
480000,7675000,5750,24
485000,7675000,6235,24
490000,7675000,6078,24
495000,7675000,6142,24
500000,7675000,6782,24
505000,7675000,5778,24
510000,7675000,4677,24
515000,7675000,4684,24
520000,7675000,5562,24
525000,7675000,6136,24
530000,7675000,6990,24
535000,7675000,7902,24
540000,7675000,6987,24
545000,7675000,5704,24
550000,7675000,5664,24
555000,7675000,6264,24
560000,7675000,6835,24
565000,7675000,7008,24
570000,7675000,6889,24
575000,7675000,7024,24
405000,7680000,3812,24
410000,7680000,4117,24
415000,7680000,4609,24
420000,7680000,5069,24
425000,7680000,5281,24
430000,7680000,5309,24
435000,7680000,5317,24
440000,7680000,5472,24
445000,7680000,5664,24
450000,7680000,5757,24
455000,7680000,5824,24
460000,7680000,5954,24
465000,7680000,5528,24
470000,7680000,5542,24
475000,7680000,6061,24
480000,7680000,5616,24
485000,7680000,5963,24
490000,7680000,6025,24
495000,7680000,6308,24
500000,7680000,6726,24
505000,7680000,6088,24
510000,7680000,5530,24
515000,7680000,5157,24
520000,7680000,5923,24
525000,7680000,6365,24
530000,7680000,6996,24
535000,7680000,7969,24
540000,7680000,7469,24
545000,7680000,6411,24
550000,7680000,6342,24
555000,7680000,6847,24
560000,7680000,7121,24
565000,7680000,7168,24
570000,7680000,7082,24
575000,7680000,7313,24
405000,7685000,3645,24
410000,7685000,3925,24
415000,7685000,4320,24
420000,7685000,4793,24
425000,7685000,5126,24
430000,7685000,5236,24
435000,7685000,5290,24
440000,7685000,5439,24
445000,7685000,5652,24
450000,7685000,5689,24
455000,7685000,5593,24
460000,7685000,5663,24
465000,7685000,5370,24
470000,7685000,5420,24
475000,7685000,5998,24
