,time_d,northing_d,easting_d,estrutural
295020,94.5,7651000.0,400000.0,-3421.52
295021,94.5,7651000.0,401000.0,-3478.51
295022,94.5,7651000.0,402000.0,-3594.46
295023,94.5,7651000.0,403000.0,-3698.66
295024,94.5,7651000.0,404000.0,-3810.93
295025,94.5,7651000.0,405000.0,-3986.04
295026,94.5,7651000.0,406000.0,-4200.13
295027,94.5,7651000.0,407000.0,-4357.47
295028,94.5,7651000.0,408000.0,-4401.39
295029,94.5,7651000.0,409000.0,-4396.17
295030,94.5,7651000.0,410000.0,-4398.84
295031,94.5,7651000.0,411000.0,-4378.47
295032,94.5,7651000.0,412000.0,-4322.89
295033,94.5,7651000.0,413000.0,-4214.22
295034,94.5,7651000.0,414000.0,-4043.47
295035,94.5,7651000.0,415000.0,-3916.58
295036,94.5,7651000.0,416000.0,-3933.33
295037,94.5,7651000.0,417000.0,-4032.46
295038,94.5,7651000.0,418000.0,-4117.33
295039,94.5,7651000.0,419000.0,-4188.97
295040,94.5,7651000.0,420000.0,-4264.69
295041,94.5,7651000.0,421000.0,-4323.63
295042,94.5,7651000.0,422000.0,-4326.65
295043,94.5,7651000.0,423000.0,-4254.89
295044,94.5,7651000.0,424000.0,-4168.31
295045,94.5,7651000.0,425000.0,-4122.51
295046,94.5,7651000.0,426000.0,-4102.68
295047,94.5,7651000.0,427000.0,-4145.7
295048,94.5,7651000.0,428000.0,-4310.73
295049,94.5,7651000.0,429000.0,-4535.45
295050,94.5,7651000.0,430000.0,-4667.59
295051,94.5,7651000.0,431000.0,-4598.61
295052,94.5,7651000.0,432000.0,-4387.19
295053,94.5,7651000.0,433000.0,-4200.15
295054,94.5,7651000.0,434000.0,-4172.12
295055,94.5,7651000.0,435000.0,-4358.01
295056,94.5,7651000.0,436000.0,-4658.07
295057,94.5,7651000.0,437000.0,-4902.45
295058,94.5,7651000.0,438000.0,-5041.0
295059,94.5,7651000.0,439000.0,-5060.19
295060,94.5,7651000.0,440000.0,-4843.11
295061,94.5,7651000.0,441000.0,-4454.35
295062,94.5,7651000.0,442000.0,-4254.72
295063,94.5,7651000.0,443000.0,-4364.37
295064,94.5,7651000.0,444000.0,-4567.12
295065,94.5,7651000.0,445000.0,-4719.42
295066,94.5,7651000.0,446000.0,-4804.68
295067,94.5,7651000.0,447000.0,-4841.07
295068,94.5,7651000.0,448000.0,-4856.84
295069,94.5,7651000.0,449000.0,-4878.09
295070,94.5,7651000.0,450000.0,-4955.66
295071,94.5,7651000.0,451000.0,-5107.13
295072,94.5,7651000.0,452000.0,-5229.07
295073,94.5,7651000.0,453000.0,-5206.64
295074,94.5,7651000.0,454000.0,-5087.15
295075,94.5,7651000.0,455000.0,-5008.32
295076,94.5,7651000.0,456000.0,-5034.49
295077,94.5,7651000.0,457000.0,-5148.3
295078,94.5,7651000.0,458000.0,-5304.38
295079,94.5,7651000.0,459000.0,-5431.83
295080,94.5,7651000.0,460000.0,-5469.02
295081,94.5,7651000.0,461000.0,-5448.43
295082,94.5,7651000.0,462000.0,-5448.5
295083,94.5,7651000.0,463000.0,-5443.52
295084,94.5,7651000.0,464000.0,-5322.93
295085,94.5,7651000.0,465000.0,-4867.63
295086,94.5,7651000.0,466000.0,-3930.61
295087,94.5,7651000.0,467000.0,-2953.51
295088,94.5,7651000.0,468000.0,-2446.36
295089,94.5,7651000.0,469000.0,-2271.0
295090,94.5,7651000.0,470000.0,-2145.57
295091,94.5,7651000.0,471000.0,-2057.04
295092,94.5,7651000.0,472000.0,-2103.08
295093,94.5,7651000.0,473000.0,-2333.02
295094,94.5,7651000.0,474000.0,-2700.26
295095,94.5,7651000.0,475000.0,-3135.54
295096,94.5,7651000.0,476000.0,-3553.25
295097,94.5,7651000.0,477000.0,-3815.66
295098,94.5,7651000.0,478000.0,-3863.13
295099,94.5,7651000.0,479000.0,-3770.78
295100,94.5,7651000.0,480000.0,-3641.17
295101,94.5,7651000.0,481000.0,-3574.39
295102,94.5,7651000.0,482000.0,-3571.44
295103,94.5,7651000.0,483000.0,-3584.19
295104,94.5,7651000.0,484000.0,-3751.31
295105,94.5,7651000.0,485000.0,-4284.22
295106,94.5,7651000.0,486000.0,-5079.71
295107,94.5,7651000.0,487000.0,-5769.15
295108,94.5,7651000.0,488000.0,-6278.36
295109,94.5,7651000.0,489000.0,-6781.91
295110,94.5,7651000.0,490000.0,-7252.85
295111,94.5,7651000.0,491000.0,-7522.33
295112,94.5,7651000.0,492000.0,-7455.24
295113,94.5,7651000.0,493000.0,-7208.47
295114,94.5,7651000.0,494000.0,-7040.32
295115,94.5,7651000.0,495000.0,-6667.5
295116,94.5,7651000.0,496000.0,-5556.69
295117,94.5,7651000.0,497000.0,-4328.94
295118,94.5,7651000.0,498000.0,-3945.91
295119,94.5,7651000.0,499000.0,-4108.8
295120,94.5,7651000.0,500000.0,-4638.48
295121,94.5,7651000.0,501000.0,-5436.32
295122,94.5,7651000.0,502000.0,-5848.04
295123,94.5,7651000.0,503000.0,-5626.95
295124,94.5,7651000.0,504000.0,-4937.4
295125,94.5,7651000.0,505000.0,-4094.93
295126,94.5,7651000.0,506000.0,-3533.73
295127,94.5,7651000.0,507000.0,-3514.27
295128,94.5,7651000.0,508000.0,-3846.09
295129,94.5,7651000.0,509000.0,-4164.17
295130,94.5,7651000.0,510000.0,-4349.82
295131,94.5,7651000.0,511000.0,-4434.68
295132,94.5,7651000.0,512000.0,-4415.62
295133,94.5,7651000.0,513000.0,-4282.21
295134,94.5,7651000.0,514000.0,-3948.15
295135,94.5,7651000.0,515000.0,-3711.6
295136,94.5,7651000.0,516000.0,-4518.1
295137,94.5,7651000.0,517000.0,-6049.63
295138,94.5,7651000.0,518000.0,-5928.73
295139,94.5,7651000.0,519000.0,-4411.82
295140,94.5,7651000.0,520000.0,-4822.01
295141,94.5,7651000.0,521000.0,-6690.65
295142,94.5,7651000.0,522000.0,-7324.27
295143,94.5,7651000.0,523000.0,-7103.36
295144,94.5,7651000.0,524000.0,-7202.05
295145,94.5,7651000.0,525000.0,-7409.89
295146,94.5,7651000.0,526000.0,-7217.96
295147,94.5,7651000.0,527000.0,-6757.5
295148,94.5,7651000.0,528000.0,-6469.66
295149,94.5,7651000.0,529000.0,-6357.06
295150,94.5,7651000.0,530000.0,-6423.62
295151,94.5,7651000.0,531000.0,-6793.88
295152,94.5,7651000.0,532000.0,-7122.58
295153,94.5,7651000.0,533000.0,-7125.65
295154,94.5,7651000.0,534000.0,-6911.58
295155,94.5,7651000.0,535000.0,-6227.59
295156,94.5,7651000.0,536000.0,-4793.61
295157,94.5,7651000.0,537000.0,-3574.49
295158,94.5,7651000.0,538000.0,-3464.47
295159,94.5,7651000.0,539000.0,-3753.11
295160,94.5,7651000.0,540000.0,-3775.06
295161,94.5,7651000.0,541000.0,-3663.49
295162,94.5,7651000.0,542000.0,-3558.75
295163,94.5,7651000.0,543000.0,-3482.88
295164,94.5,7651000.0,544000.0,-3403.95
295165,94.5,7651000.0,545000.0,-3248.15
295166,94.5,7651000.0,546000.0,-3015.64
295167,94.5,7651000.0,547000.0,-2851.92
295168,94.5,7651000.0,548000.0,-2831.13
295169,94.5,7651000.0,549000.0,-2887.81
295170,94.5,7651000.0,550000.0,-2985.7
295171,94.5,7651000.0,551000.0,-3577.14
295172,94.5,7651000.0,552000.0,-4860.42
295173,94.5,7651000.0,553000.0,-5917.45
295174,94.5,7651000.0,554000.0,-6305.58
295175,94.5,7651000.0,555000.0,-6470.42
295176,94.5,7651000.0,556000.0,-6626.05
295177,94.5,7651000.0,557000.0,-6784.23
295178,94.5,7651000.0,558000.0,-6939.51
295179,94.5,7651000.0,559000.0,-7035.78
295180,94.5,7651000.0,560000.0,-7050.94
295181,94.5,7651000.0,561000.0,-7025.95
295182,94.5,7651000.0,562000.0,-6990.6
295183,94.5,7651000.0,563000.0,-6942.28
295184,94.5,7651000.0,564000.0,-6871.24
295185,94.5,7651000.0,565000.0,-6780.06
295186,94.5,7651000.0,566000.0,-6687.08
295187,94.5,7651000.0,567000.0,-6612.65
295188,94.5,7651000.0,568000.0,-6568.59
295189,94.5,7651000.0,569000.0,-6554.29
295190,94.5,7651000.0,570000.0,-6559.73
295191,94.5,7651000.0,571000.0,-6568.36
295192,94.5,7651000.0,572000.0,-6561.69
295193,94.5,7651000.0,573000.0,-6524.78
295194,94.5,7651000.0,574000.0,-6437.4
295195,94.5,7651000.0,575000.0,-6331.01
295196,94.5,7651000.0,576000.0,-6269.4
295197,94.5,7651000.0,577000.0,-6233.55
295198,94.5,7651000.0,578000.0,-6185.86
295199,94.5,7651000.0,579000.0,-6297.14
295200,94.5,7652000.0,400000.0,-3399.52
295201,94.5,7652000.0,401000.0,-3455.18
295202,94.5,7652000.0,402000.0,-3567.12
295203,94.5,7652000.0,403000.0,-3670.86
295204,94.5,7652000.0,404000.0,-3781.7
295205,94.5,7652000.0,405000.0,-3943.83
295206,94.5,7652000.0,406000.0,-4144.18
295207,94.5,7652000.0,407000.0,-4301.96
295208,94.5,7652000.0,408000.0,-4356.96
295209,94.5,7652000.0,409000.0,-4376.1
295210,94.5,7652000.0,410000.0,-4412.07
295211,94.5,7652000.0,411000.0,-4408.22
295212,94.5,7652000.0,412000.0,-4357.92
295213,94.5,7652000.0,413000.0,-4259.48
295214,94.5,7652000.0,414000.0,-4100.6
295215,94.5,7652000.0,415000.0,-3991.05
295216,94.5,7652000.0,416000.0,-4020.49
295217,94.5,7652000.0,417000.0,-4102.17
295218,94.5,7652000.0,418000.0,-4148.38
295219,94.5,7652000.0,419000.0,-4189.16
295220,94.5,7652000.0,420000.0,-4249.65
295221,94.5,7652000.0,421000.0,-4296.76
295222,94.5,7652000.0,422000.0,-4278.56
295223,94.5,7652000.0,423000.0,-4181.6
295224,94.5,7652000.0,424000.0,-4093.84
295225,94.5,7652000.0,425000.0,-4083.91
295226,94.5,7652000.0,426000.0,-4109.96
