X,Y,Z,formation
0,0,-3336,bes_89
1000,0,-3403,bes_89
2000,0,-3542,bes_89
3000,0,-3668,bes_89
4000,0,-3790,bes_89
5000,0,-3965,bes_89
6000,0,-4178,bes_89
7000,0,-4335,bes_89
8000,0,-4378,bes_89
9000,0,-4369,bes_89
10000,0,-4367,bes_89
11000,0,-4340,bes_89
12000,0,-4272,bes_89
13000,0,-4144,bes_89
14000,0,-3946,bes_89
15000,0,-3792,bes_89
16000,0,-3778,bes_89
17000,0,-3845,bes_89
18000,0,-3917,bes_89
19000,0,-3992,bes_89
20000,0,-4070,bes_89
21000,0,-4132,bes_89
22000,0,-4149,bes_89
23000,0,-4101,bes_89
24000,0,-4013,bes_89
25000,0,-3939,bes_89
26000,0,-3911,bes_89
27000,0,-3973,bes_89
28000,0,-4153,bes_89
29000,0,-4387,bes_89
30000,0,-4548,bes_89
31000,0,-4522,bes_89
32000,0,-4335,bes_89
33000,0,-4153,bes_89
34000,0,-4131,bes_89
35000,0,-4324,bes_89
36000,0,-4620,bes_89
37000,0,-4854,bes_89
38000,0,-4987,bes_89
39000,0,-5004,bes_89
40000,0,-4780,bes_89
41000,0,-4388,bes_89
42000,0,-4206,bes_89
43000,0,-4317,bes_89
44000,0,-4490,bes_89
45000,0,-4618,bes_89
46000,0,-4691,bes_89
47000,0,-4715,bes_89
48000,0,-4726,bes_89
49000,0,-4763,bes_89
50000,0,-4872,bes_89
51000,0,-5046,bes_89
52000,0,-5181,bes_89
53000,0,-5173,bes_89
54000,0,-5062,bes_89
55000,0,-4984,bes_89
56000,0,-5011,bes_89
57000,0,-5125,bes_89
58000,0,-5281,bes_89
59000,0,-5408,bes_89
60000,0,-5445,bes_89
61000,0,-5425,bes_89
62000,0,-5425,bes_89
63000,0,-5420,bes_89
64000,0,-5300,bes_89
65000,0,-4844,bes_89
66000,0,-3907,bes_89
67000,0,-2930,bes_89
68000,0,-2423,bes_89
69000,0,-2248,bes_89
70000,0,-2123,bes_89
71000,0,-2034,bes_89
72000,0,-2080,bes_89
73000,0,-2310,bes_89
74000,0,-2678,bes_89
75000,0,-3113,bes_89
76000,0,-3531,bes_89
77000,0,-3793,bes_89
78000,0,-3841,bes_89
79000,0,-3749,bes_89
80000,0,-3619,bes_89
81000,0,-3553,bes_89
82000,0,-3550,bes_89
83000,0,-3563,bes_89
84000,0,-3730,bes_89
85000,0,-4263,bes_89
86000,0,-5058,bes_89
87000,0,-5748,bes_89
88000,0,-6257,bes_89
89000,0,-6761,bes_89
90000,0,-7231,bes_89
91000,0,-7498,bes_89
92000,0,-7407,bes_89
93000,0,-7088,bes_89
94000,0,-6822,bes_89
95000,0,-6401,bes_89
96000,0,-5358,bes_89
97000,0,-4240,bes_89
98000,0,-3870,bes_89
99000,0,-4011,bes_89
100000,0,-4580,bes_89
101000,0,-5410,bes_89
102000,0,-5823,bes_89
103000,0,-5604,bes_89
104000,0,-4918,bes_89
105000,0,-4075,bes_89
106000,0,-3514,bes_89
107000,0,-3495,bes_89
108000,0,-3827,bes_89
109000,0,-4145,bes_89
110000,0,-4331,bes_89
111000,0,-4416,bes_89
112000,0,-4397,bes_89
113000,0,-4263,bes_89
114000,0,-3929,bes_89
