X,Y,Z,formation
0,88000,-138,T
0,89000,-151,T
0,109000,-175,T
1000,88000,-176,T
0,110000,-178,T
0,87000,-182,T
1000,89000,-187,T
0,128000,-191,T
0,127000,-193,T
0,129000,-199,T
1000,110000,-201,T
0,126000,-201,T
1000,109000,-202,T
0,108000,-213,T
0,125000,-215,T
0,130000,-220,T
0,111000,-220,T
1000,128000,-221,T
1000,127000,-222,T
1000,87000,-223,T
1000,129000,-230,T
1000,126000,-231,T
0,86000,-233,T
0,124000,-237,T
0,90000,-239,T
1000,108000,-240,T
1000,111000,-240,T
1000,125000,-247,T
0,131000,-248,T
1000,130000,-252,T
2000,110000,-256,T
0,123000,-265,T
2000,109000,-267,T
1000,124000,-267,T
1000,86000,-269,T
1000,90000,-274,T
0,107000,-275,T
0,132000,-275,T
2000,88000,-278,T
1000,131000,-281,T
2000,111000,-282,T
0,85000,-284,T
2000,128000,-287,T
2000,89000,-287,T
2000,127000,-288,T
0,112000,-290,T
1000,123000,-292,T
0,122000,-293,T
1000,107000,-295,T
0,133000,-300,T
2000,129000,-301,T
2000,126000,-302,T
2000,108000,-303,T
1000,112000,-304,T
1000,85000,-310,T
1000,132000,-310,T
3000,110000,-317,T
1000,122000,-317,T
2000,125000,-318,T
0,121000,-319,T
2000,87000,-320,T
3000,111000,-323,T
2000,130000,-329,T
2000,112000,-333,T
0,134000,-333,T
2000,124000,-334,T
0,84000,-335,T
2000,107000,-338,T
1000,133000,-338,T
1000,121000,-339,T
0,120000,-342,T
0,106000,-345,T
3000,109000,-345,T
2000,123000,-350,T
2000,86000,-351,T
1000,106000,-354,T
1000,84000,-355,T
3000,112000,-357,T
3000,128000,-357,T
1000,120000,-359,T
2000,131000,-360,T
0,80000,-362,T
0,119000,-363,T
2000,90000,-364,T
0,91000,-364,T
0,79000,-366,T
3000,127000,-366,T
0,113000,-367,T
2000,122000,-368,T
0,135000,-368,T
1000,134000,-368,T
4000,111000,-370,T
2000,85000,-371,T
2000,106000,-371,T
0,83000,-374,T
1000,113000,-376,T
0,81000,-376,T
1000,119000,-376,T
4000,112000,-377,T
1000,80000,-378,T
1000,79000,-378,T
3000,108000,-379,T
2000,121000,-383,T
3000,129000,-385,T
3000,88000,-385,T
0,118000,-386,T
0,82000,-386,T
3000,107000,-388,T
4000,110000,-390,T
2000,113000,-391,T
3000,106000,-391,T
2000,132000,-392,T
0,78000,-392,T
2000,120000,-392,T
1000,83000,-393,T
1000,81000,-393,T
3000,126000,-393,T
1000,91000,-394,T
1000,135000,-395,T
1000,118000,-395,T
0,136000,-396,T
4000,113000,-397,T
3000,113000,-398,T
2000,84000,-400,T
3000,89000,-402,T
2000,119000,-402,T
1000,78000,-403,T
1000,82000,-403,T
5000,113000,-404,T
5000,112000,-405,T
3000,87000,-406,T
0,105000,-410,T
3000,125000,-410,T
0,117000,-411,T
1000,105000,-414,T
0,71000,-414,T
3000,124000,-415,T
2000,118000,-415,T
2000,80000,-415,T
2000,105000,-416,T
2000,79000,-416,T
1000,117000,-416,T
3000,123000,-417,T
1000,136000,-418,T
3000,105000,-419,T
2000,133000,-422,T
3000,86000,-424,T
0,72000,-424,T
4000,114000,-425,T
3000,122000,-425,T
0,137000,-425,T
2000,81000,-426,T
3000,130000,-427,T
0,77000,-428,T
3000,85000,-428,T
5000,111000,-428,T
0,114000,-428,T
2000,117000,-429,T
2000,83000,-429,T
3000,114000,-431,T
6000,86000,-431,T
1000,71000,-432,T
6000,87000,-432,T
1000,114000,-432,T
5000,114000,-432,T
3000,121000,-433,T
2000,78000,-434,T
0,101000,-434,T
4000,109000,-435,T
2000,114000,-435,T
3000,120000,-435,T
6000,113000,-435,T
4000,106000,-435,T
2000,82000,-436,T
3000,119000,-436,T
1000,77000,-436,T
0,116000,-436,T
3000,84000,-437,T
5000,87000,-438,T
7000,87000,-438,T
