,time_l,northing_l,easting_l,litho
291412,94.75,7651500.0,400500.0,9.0
291413,94.75,7651500.0,401500.0,9.0
291414,94.75,7651500.0,402500.0,9.0
291415,94.75,7651500.0,403500.0,46.0
291416,94.75,7651500.0,404500.0,46.0
291417,94.75,7651500.0,405500.0,37.0
291418,94.75,7651500.0,406500.0,37.0
291419,94.75,7651500.0,407500.0,16.0
291420,94.75,7651500.0,408500.0,37.0
291421,94.75,7651500.0,409500.0,37.0
291422,94.75,7651500.0,410500.0,28.0
291423,94.75,7651500.0,411500.0,24.0
291424,94.75,7651500.0,412500.0,25.0
291425,94.75,7651500.0,413500.0,25.0
291426,94.75,7651500.0,414500.0,25.0
291427,94.75,7651500.0,415500.0,25.0
291428,94.75,7651500.0,416500.0,25.0
291429,94.75,7651500.0,417500.0,25.0
291430,94.75,7651500.0,418500.0,25.0
291431,94.75,7651500.0,419500.0,25.0
291432,94.75,7651500.0,420500.0,25.0
291433,94.75,7651500.0,421500.0,25.0
291434,94.75,7651500.0,422500.0,25.0
291435,94.75,7651500.0,423500.0,25.0
291436,94.75,7651500.0,424500.0,25.0
291437,94.75,7651500.0,425500.0,25.0
291438,94.75,7651500.0,426500.0,25.0
291439,94.75,7651500.0,427500.0,25.0
291440,94.75,7651500.0,428500.0,25.0
291441,94.75,7651500.0,429500.0,25.0
291442,94.75,7651500.0,430500.0,25.0
291443,94.75,7651500.0,431500.0,25.0
291444,94.75,7651500.0,432500.0,25.0
291445,94.75,7651500.0,433500.0,25.0
291446,94.75,7651500.0,434500.0,25.0
291447,94.75,7651500.0,435500.0,25.0
291448,94.75,7651500.0,436500.0,25.0
291449,94.75,7651500.0,437500.0,24.0
291450,94.75,7651500.0,438500.0,24.0
291451,94.75,7651500.0,439500.0,24.0
291452,94.75,7651500.0,440500.0,21.0
291453,94.75,7651500.0,441500.0,21.0
291454,94.75,7651500.0,442500.0,21.0
291455,94.75,7651500.0,443500.0,21.0
291456,94.75,7651500.0,444500.0,21.0
291457,94.75,7651500.0,445500.0,21.0
291458,94.75,7651500.0,446500.0,21.0
291459,94.75,7651500.0,447500.0,21.0
291460,94.75,7651500.0,448500.0,21.0
291461,94.75,7651500.0,449500.0,21.0
291462,94.75,7651500.0,450500.0,21.0
291463,94.75,7651500.0,451500.0,21.0
291464,94.75,7651500.0,452500.0,16.0
291465,94.75,7651500.0,453500.0,16.0
291466,94.75,7651500.0,454500.0,27.0
291467,94.75,7651500.0,455500.0,27.0
291468,94.75,7651500.0,456500.0,28.0
291469,94.75,7651500.0,457500.0,28.0
291470,94.75,7651500.0,458500.0,28.0
291471,94.75,7651500.0,459500.0,29.0
291472,94.75,7651500.0,460500.0,29.0
291473,94.75,7651500.0,461500.0,29.0
291474,94.75,7651500.0,462500.0,29.0
291475,94.75,7651500.0,463500.0,29.0
291476,94.75,7651500.0,464500.0,29.0
291477,94.75,7651500.0,465500.0,29.0
291478,94.75,7651500.0,466500.0,29.0
291479,94.75,7651500.0,467500.0,29.0
291480,94.75,7651500.0,468500.0,29.0
291481,94.75,7651500.0,469500.0,29.0
291482,94.75,7651500.0,470500.0,29.0
291483,94.75,7651500.0,471500.0,29.0
291484,94.75,7651500.0,472500.0,29.0
291485,94.75,7651500.0,473500.0,29.0
291486,94.75,7651500.0,474500.0,29.0
291487,94.75,7651500.0,475500.0,29.0
291488,94.75,7651500.0,476500.0,29.0
291489,94.75,7651500.0,477500.0,29.0
291490,94.75,7651500.0,478500.0,29.0
291491,94.75,7651500.0,479500.0,29.0
291492,94.75,7651500.0,480500.0,29.0
291493,94.75,7651500.0,481500.0,29.0
291494,94.75,7651500.0,482500.0,29.0
291495,94.75,7651500.0,483500.0,29.0
291496,94.75,7651500.0,484500.0,29.0
291497,94.75,7651500.0,485500.0,29.0
291498,94.75,7651500.0,486500.0,29.0
291499,94.75,7651500.0,487500.0,27.0
291500,94.75,7651500.0,488500.0,27.0
291501,94.75,7651500.0,489500.0,27.0
291502,94.75,7651500.0,490500.0,27.0
291503,94.75,7651500.0,491500.0,27.0
291504,94.75,7651500.0,492500.0,27.0
291505,94.75,7651500.0,493500.0,28.0
291506,94.75,7651500.0,494500.0,29.0
291507,94.75,7651500.0,495500.0,29.0
291508,94.75,7651500.0,496500.0,29.0
291509,94.75,7651500.0,497500.0,29.0
291510,94.75,7651500.0,498500.0,29.0
291511,94.75,7651500.0,499500.0,29.0
291512,94.75,7651500.0,500500.0,29.0
291513,94.75,7651500.0,501500.0,29.0
291514,94.75,7651500.0,502500.0,29.0
291515,94.75,7651500.0,503500.0,29.0
291516,94.75,7651500.0,504500.0,29.0
291517,94.75,7651500.0,505500.0,29.0
291518,94.75,7651500.0,506500.0,29.0
291519,94.75,7651500.0,507500.0,29.0
291520,94.75,7651500.0,508500.0,37.0
291521,94.75,7651500.0,509500.0,36.0
291522,94.75,7651500.0,510500.0,36.0
291523,94.75,7651500.0,511500.0,36.0
291524,94.75,7651500.0,512500.0,36.0
291525,94.75,7651500.0,513500.0,36.0
291526,94.75,7651500.0,514500.0,37.0
291527,94.75,7651500.0,515500.0,29.0
291528,94.75,7651500.0,516500.0,29.0
291529,94.75,7651500.0,517500.0,29.0
291530,94.75,7651500.0,518500.0,21.0
291531,94.75,7651500.0,519500.0,21.0
291532,94.75,7651500.0,520500.0,21.0
291533,94.75,7651500.0,521500.0,21.0
291534,94.75,7651500.0,522500.0,21.0
291535,94.75,7651500.0,523500.0,21.0
291536,94.75,7651500.0,524500.0,21.0
291537,94.75,7651500.0,525500.0,21.0
291538,94.75,7651500.0,526500.0,21.0
291539,94.75,7651500.0,527500.0,37.0
291540,94.75,7651500.0,528500.0,37.0
291541,94.75,7651500.0,529500.0,36.0
291542,94.75,7651500.0,530500.0,42.0
291543,94.75,7651500.0,531500.0,42.0
291544,94.75,7651500.0,532500.0,42.0
291545,94.75,7651500.0,533500.0,42.0
291546,94.75,7651500.0,534500.0,42.0
291547,94.75,7651500.0,535500.0,42.0
291548,94.75,7651500.0,536500.0,42.0
291549,94.75,7651500.0,537500.0,42.0
291550,94.75,7651500.0,538500.0,42.0
291551,94.75,7651500.0,539500.0,42.0
291552,94.75,7651500.0,540500.0,42.0
291553,94.75,7651500.0,541500.0,42.0
291554,94.75,7651500.0,542500.0,42.0
291555,94.75,7651500.0,543500.0,42.0
291556,94.75,7651500.0,544500.0,42.0
291557,94.75,7651500.0,545500.0,42.0
291558,94.75,7651500.0,546500.0,42.0
291559,94.75,7651500.0,547500.0,42.0
291560,94.75,7651500.0,548500.0,42.0
291561,94.75,7651500.0,549500.0,47.0
291562,94.75,7651500.0,550500.0,50.0
291563,94.75,7651500.0,551500.0,50.0
291564,94.75,7651500.0,552500.0,50.0
291565,94.75,7651500.0,553500.0,50.0
291566,94.75,7651500.0,554500.0,50.0
291567,94.75,7651500.0,555500.0,50.0
291568,94.75,7651500.0,556500.0,50.0
291569,94.75,7651500.0,557500.0,50.0
291570,94.75,7651500.0,558500.0,50.0
291571,94.75,7651500.0,559500.0,50.0
291572,94.75,7651500.0,560500.0,50.0
291573,94.75,7651500.0,561500.0,50.0
291574,94.75,7651500.0,562500.0,50.0
291575,94.75,7651500.0,563500.0,50.0
291576,94.75,7651500.0,564500.0,50.0
291577,94.75,7651500.0,565500.0,50.0
291578,94.75,7651500.0,566500.0,50.0
291579,94.75,7651500.0,567500.0,50.0
291580,94.75,7651500.0,568500.0,50.0
291581,94.75,7651500.0,569500.0,50.0
291582,94.75,7651500.0,570500.0,42.0
291583,94.75,7651500.0,571500.0,47.0
291584,94.75,7651500.0,572500.0,47.0
291585,94.75,7651500.0,573500.0,42.0
291586,94.75,7651500.0,574500.0,35.0
291587,94.75,7651500.0,575500.0,9.0
291588,94.75,7651500.0,576500.0,9.0
291589,94.75,7651500.0,577500.0,26.0
291590,94.75,7651500.0,578500.0,9.0
291591,94.75,7652500.0,400500.0,44.0
291592,94.75,7652500.0,401500.0,29.0
291593,94.75,7652500.0,402500.0,46.0
291594,94.75,7652500.0,403500.0,46.0
291595,94.75,7652500.0,404500.0,40.0
291596,94.75,7652500.0,405500.0,37.0
291597,94.75,7652500.0,406500.0,37.0
291598,94.75,7652500.0,407500.0,16.0
291599,94.75,7652500.0,408500.0,37.0
291600,94.75,7652500.0,409500.0,29.0
291601,94.75,7652500.0,410500.0,21.0
291602,94.75,7652500.0,411500.0,25.0
291603,94.75,7652500.0,412500.0,25.0
291604,94.75,7652500.0,413500.0,25.0
291605,94.75,7652500.0,414500.0,25.0
291606,94.75,7652500.0,415500.0,25.0
291607,94.75,7652500.0,416500.0,25.0
291608,94.75,7652500.0,417500.0,25.0
291609,94.75,7652500.0,418500.0,24.0
291610,94.75,7652500.0,419500.0,24.0
291611,94.75,7652500.0,420500.0,24.0
291612,94.75,7652500.0,421500.0,24.0
291613,94.75,7652500.0,422500.0,24.0
291614,94.75,7652500.0,423500.0,24.0
291615,94.75,7652500.0,424500.0,24.0
291616,94.75,7652500.0,425500.0,24.0
291617,94.75,7652500.0,426500.0,24.0
291618,94.75,7652500.0,427500.0,24.0
291619,94.75,7652500.0,428500.0,24.0
291620,94.75,7652500.0,429500.0,25.0
291621,94.75,7652500.0,430500.0,25.0
291622,94.75,7652500.0,431500.0,25.0
291623,94.75,7652500.0,432500.0,25.0
291624,94.75,7652500.0,433500.0,25.0
291625,94.75,7652500.0,434500.0,25.0
291626,94.75,7652500.0,435500.0,25.0
291627,94.75,7652500.0,436500.0,25.0
291628,94.75,7652500.0,437500.0,25.0
291629,94.75,7652500.0,438500.0,25.0
291630,94.75,7652500.0,439500.0,25.0
291631,94.75,7652500.0,440500.0,21.0
291632,94.75,7652500.0,441500.0,21.0
291633,94.75,7652500.0,442500.0,21.0
291634,94.75,7652500.0,443500.0,21.0
291635,94.75,7652500.0,444500.0,21.0
291636,94.75,7652500.0,445500.0,21.0
291637,94.75,7652500.0,446500.0,21.0
291638,94.75,7652500.0,447500.0,21.0
291639,94.75,7652500.0,448500.0,21.0
291640,94.75,7652500.0,449500.0,21.0
291641,94.75,7652500.0,450500.0,21.0
291642,94.75,7652500.0,451500.0,21.0
291643,94.75,7652500.0,452500.0,21.0
291644,94.75,7652500.0,453500.0,21.0
291645,94.75,7652500.0,454500.0,21.0
291646,94.75,7652500.0,455500.0,21.0
291647,94.75,7652500.0,456500.0,21.0
291648,94.75,7652500.0,457500.0,21.0
291649,94.75,7652500.0,458500.0,21.0
291650,94.75,7652500.0,459500.0,21.0
291651,94.75,7652500.0,460500.0,21.0
291652,94.75,7652500.0,461500.0,21.0
291653,94.75,7652500.0,462500.0,21.0
291654,94.75,7652500.0,463500.0,21.0
291655,94.75,7652500.0,464500.0,21.0
291656,94.75,7652500.0,465500.0,21.0
291657,94.75,7652500.0,466500.0,21.0
291658,94.75,7652500.0,467500.0,21.0
291659,94.75,7652500.0,468500.0,21.0
291660,94.75,7652500.0,469500.0,21.0
291661,94.75,7652500.0,470500.0,21.0
291662,94.75,7652500.0,471500.0,21.0
291663,94.75,7652500.0,472500.0,21.0
291664,94.75,7652500.0,473500.0,21.0
291665,94.75,7652500.0,474500.0,21.0
291666,94.75,7652500.0,475500.0,21.0
291667,94.75,7652500.0,476500.0,21.0
291668,94.75,7652500.0,477500.0,21.0
291669,94.75,7652500.0,478500.0,21.0
291670,94.75,7652500.0,479500.0,21.0
291671,94.75,7652500.0,480500.0,21.0
291672,94.75,7652500.0,481500.0,21.0
291673,94.75,7652500.0,482500.0,21.0
291674,94.75,7652500.0,483500.0,21.0
291675,94.75,7652500.0,484500.0,21.0
291676,94.75,7652500.0,485500.0,21.0
291677,94.75,7652500.0,486500.0,21.0
291678,94.75,7652500.0,487500.0,21.0
291679,94.75,7652500.0,488500.0,21.0
291680,94.75,7652500.0,489500.0,21.0
291681,94.75,7652500.0,490500.0,21.0
291682,94.75,7652500.0,491500.0,21.0
291683,94.75,7652500.0,492500.0,21.0
291684,94.75,7652500.0,493500.0,21.0
291685,94.75,7652500.0,494500.0,21.0
291686,94.75,7652500.0,495500.0,21.0
291687,94.75,7652500.0,496500.0,21.0
291688,94.75,7652500.0,497500.0,21.0
291689,94.75,7652500.0,498500.0,21.0
291690,94.75,7652500.0,499500.0,21.0
291691,94.75,7652500.0,500500.0,21.0
291692,94.75,7652500.0,501500.0,21.0
291693,94.75,7652500.0,502500.0,21.0
291694,94.75,7652500.0,503500.0,21.0
291695,94.75,7652500.0,504500.0,21.0
291696,94.75,7652500.0,505500.0,21.0
291697,94.75,7652500.0,506500.0,21.0
291698,94.75,7652500.0,507500.0,21.0
291699,94.75,7652500.0,508500.0,21.0
291700,94.75,7652500.0,509500.0,21.0
291701,94.75,7652500.0,510500.0,21.0
291702,94.75,7652500.0,511500.0,21.0
291703,94.75,7652500.0,512500.0,21.0
291704,94.75,7652500.0,513500.0,21.0
291705,94.75,7652500.0,514500.0,21.0
291706,94.75,7652500.0,515500.0,21.0
291707,94.75,7652500.0,516500.0,21.0
291708,94.75,7652500.0,517500.0,21.0
291709,94.75,7652500.0,518500.0,21.0
291710,94.75,7652500.0,519500.0,21.0
291711,94.75,7652500.0,520500.0,21.0
291712,94.75,7652500.0,521500.0,21.0
291713,94.75,7652500.0,522500.0,21.0
291714,94.75,7652500.0,523500.0,21.0
291715,94.75,7652500.0,524500.0,21.0
291716,94.75,7652500.0,525500.0,21.0
291717,94.75,7652500.0,526500.0,21.0
291718,94.75,7652500.0,527500.0,21.0
291719,94.75,7652500.0,528500.0,30.0
291720,94.75,7652500.0,529500.0,30.0
291721,94.75,7652500.0,530500.0,37.0
291722,94.75,7652500.0,531500.0,42.0
291723,94.75,7652500.0,532500.0,42.0
291724,94.75,7652500.0,533500.0,42.0
291725,94.75,7652500.0,534500.0,42.0
291726,94.75,7652500.0,535500.0,42.0
291727,94.75,7652500.0,536500.0,42.0
291728,94.75,7652500.0,537500.0,42.0
291729,94.75,7652500.0,538500.0,42.0
291730,94.75,7652500.0,539500.0,42.0
