time,X,Y,Z,litho
93.0,400000.0,7651000.0,-3398.41,9.0
93.0,401000.0,7651000.0,-3458.06,9.0
93.0,402000.0,7651000.0,-3580.19,9.0
93.0,403000.0,7651000.0,-3690.53,46.0
93.0,404000.0,7651000.0,-3805.47,46.0
93.0,405000.0,7651000.0,-3980.56,37.0
93.0,406000.0,7651000.0,-4194.32,37.0
93.0,407000.0,7651000.0,-4351.6,16.0
93.0,408000.0,7651000.0,-4395.16,37.0
93.0,409000.0,7651000.0,-4388.83,28.0
93.0,410000.0,7651000.0,-4390.35,28.0
93.0,411000.0,7651000.0,-4368.08,24.0
93.0,412000.0,7651000.0,-4309.17,25.0
93.0,413000.0,7651000.0,-4195.27,25.0
93.0,414000.0,7651000.0,-4017.14,25.0
93.0,415000.0,7651000.0,-3882.73,25.0
93.0,416000.0,7651000.0,-3891.21,25.0
93.0,417000.0,7651000.0,-3981.55,25.0
93.0,418000.0,7651000.0,-4062.8,25.0
93.0,419000.0,7651000.0,-4135.33,25.0
93.0,420000.0,7651000.0,-4211.62,25.0
93.0,421000.0,7651000.0,-4271.37,25.0
93.0,422000.0,7651000.0,-4278.44,25.0
93.0,423000.0,7651000.0,-4212.93,25.0
93.0,424000.0,7651000.0,-4126.08,25.0
93.0,425000.0,7651000.0,-4072.73,25.0
93.0,426000.0,7651000.0,-4050.61,25.0
93.0,427000.0,7651000.0,-4098.83,25.0
93.0,428000.0,7651000.0,-4267.88,25.0
93.0,429000.0,7651000.0,-4495.15,25.0
93.0,430000.0,7651000.0,-4635.23,25.0
93.0,431000.0,7651000.0,-4577.81,25.0
93.0,432000.0,7651000.0,-4373.15,25.0
93.0,433000.0,7651000.0,-4187.53,25.0
93.0,434000.0,7651000.0,-4161.01,25.0
93.0,435000.0,7651000.0,-4348.78,25.0
93.0,436000.0,7651000.0,-4647.77,24.0
93.0,437000.0,7651000.0,-4889.48,24.0
93.0,438000.0,7651000.0,-5026.48,24.0
93.0,439000.0,7651000.0,-5045.12,24.0
93.0,440000.0,7651000.0,-4826.0,21.0
93.0,441000.0,7651000.0,-4436.53,21.0
93.0,442000.0,7651000.0,-4241.61,21.0
93.0,443000.0,7651000.0,-4351.48,21.0
93.0,444000.0,7651000.0,-4546.16,21.0
93.0,445000.0,7651000.0,-4691.87,21.0
93.0,446000.0,7651000.0,-4773.83,21.0
93.0,447000.0,7651000.0,-4806.96,16.0
93.0,448000.0,7651000.0,-4821.22,16.0
93.0,449000.0,7651000.0,-4846.82,28.0
93.0,450000.0,7651000.0,-4932.93,29.0
93.0,451000.0,7651000.0,-5090.62,29.0
93.0,452000.0,7651000.0,-5216.12,29.0
93.0,453000.0,7651000.0,-5197.46,29.0
93.0,454000.0,7651000.0,-5080.33,29.0
93.0,455000.0,7651000.0,-5001.9,29.0
93.0,456000.0,7651000.0,-5028.13,29.0
93.0,457000.0,7651000.0,-5141.97,29.0
93.0,458000.0,7651000.0,-5298.06,29.0
93.0,459000.0,7651000.0,-5425.52,29.0
