,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
0,topo,Strat_Series,1,False,False,True,True,#015482,"[array([[   745.83333333,    616.66666667,  -1936.42333984],
       [   745.83333333,   1850.        ,  -1934.74796295],
       [  2237.5       ,    616.66666667,  -1906.94404602],
       ...,
       [178254.16666667, 144916.66666667,  -7942.49565125],
       [178254.16666667, 146150.        ,  -7929.86116409],
       [178254.16666667, 147383.33333333,  -7925.96277237]])]","[array([[    2,     1,     0],
       [    3,     1,     2],
       [    6,     5,     4],
       ...,
       [35794, 35572, 35793],
       [35794, 35573, 35572],
       [35795, 35573, 35794]])]",0.12131598335912164,1
1,bes_89,Strat_Series,2,False,False,True,True,#9f0052,"[array([[   745.83333333,    616.66666667,  -3355.95733643],
       [  2237.5       ,    627.81871526,  -3347.5       ],
       [  2237.5       ,    616.66666667,  -3347.78652191],
       ...,
       [178254.16666667, 144916.66666667,  -8944.9574852 ],
       [178254.16666667, 146150.        ,  -8932.84170151],
       [178254.16666667, 147383.33333333,  -8927.5170517 ]])]","[array([[    2,     1,     0],
       [    0,     1,     3],
       [    4,     3,     1],
       ...,
       [36110, 35886, 36109],
       [36110, 35887, 35886],
       [36111, 35887, 36110]])]",0.11930208977310106,2
2,bes_90,Strat_Series,3,False,False,True,True,#ffbe00,"[array([[  1957.22302496,    616.66666667,  -3902.5       ],
       [  2237.5       ,    949.48021571,  -3902.5       ],
       [  2237.5       ,    616.66666667,  -3913.34690094],
       ...,
       [178254.16666667, 144916.66666667,  -9493.16917419],
       [178254.16666667, 146150.        ,  -9477.23474503],
       [178254.16666667, 147383.33333333,  -9473.31518173]])]","[array([[    2,     1,     0],
       [    3,     0,     1],
       [    4,     3,     1],
       ...,
       [36188, 35957, 36187],
       [36188, 35958, 35957],
       [36189, 35958, 36188]])]",0.11832137293237174,3
3,bes_91,Strat_Series,4,False,False,True,True,#728f02,"[array([[   745.83333333,    616.66666667,  -4360.14465332],
       [   745.83333333,   1850.        ,  -4323.74931335],
       [  2237.5       ,    616.66666667,  -4442.53311157],
       ...,
       [178254.16666667, 146150.        , -10032.15499878],
       [177086.17318471, 147383.33333333, -10007.5       ],
       [178254.16666667, 147383.33333333, -10028.9940834 ]])]","[array([[    2,     1,     0],
       [    3,     1,     2],
       [    3,     4,     1],
       ...,
       [36155, 36154, 36156],
       [36155, 35922, 35921],
       [36155, 35921, 36153]])]",0.11738989251376153,4
4,bes_92,Strat_Series,5,False,False,True,True,#443988,"[array([[   927.89657681,   1850.        ,  -4827.5       ],
       [   745.83333333,    616.66666667,  -4861.90662384],
       [   745.83333333,   1562.8727138 ,  -4827.5       ],
       ...,
       [178254.16666667, 146150.        , -10591.1091423 ],
       [177168.65914663, 147383.33333333, -10562.5       ],
       [178254.16666667, 147383.33333333, -10587.25662231]])]","[array([[    2,     1,     0],
       [    1,     3,     0],
       [    1,     4,     3],
       ...,
       [36293, 36292, 36294],
       [36293, 36073, 36072],
       [36293, 36072, 36291]])]",0.11650785071316513,5
5,bes_93,Strat_Series,6,False,False,True,True,#ff3f20,"[array([[  1980.15911629,   1850.        ,  -5382.5       ],
       [  2237.5       ,    616.66666667,  -5459.26670074],
       [  1034.15004102,    616.66666667,  -5382.5       ],
       ...,
       [178254.16666667, 146150.        , -11150.81911087],
       [177099.26077525, 147383.33333333, -11117.5       ],
       [178254.16666667, 147383.33333333, -11146.16065979]])]","[array([[    2,     1,     0],
       [    0,     1,     3],
       [    0,     5,     4],
       ...,
       [36336, 36335, 36337],
       [36336, 36126, 36125],
       [36336, 36125, 36334]])]",0.11567535017627989,6
6,bes_94,Strat_Series,7,False,False,True,True,#5DA629,"[array([[  1890.30231585,    616.66666667,  -5937.5       ],
       [  2237.5       ,    989.20704921,  -5937.5       ],
       [  2237.5       ,    616.66666667,  -5958.69768143],
       ...,
       [178254.16666667, 146150.        , -11710.27537346],
       [176960.53231557, 147383.33333333, -11672.5       ],
       [178254.16666667, 147383.33333333, -11705.04281998]])]","[array([[    2,     1,     0],
       [    3,     0,     1],
       [    4,     3,     1],
       ...,
       [36411, 36410, 36412],
       [36411, 36196, 36195],
       [36411, 36195, 36409]])]",0.1148924576993233,7
7,bes_95,Strat_Series,8,False,False,True,True,#4878d0,"[array([[   917.77466585,   1850.        ,  -6307.5       ],
       [   745.83333333,    616.66666667,  -6371.56587601],
       [   745.83333333,   1686.95325653,  -6307.5       ],
       ...,
       [178254.16666667, 146150.        , -12269.7206974 ],
       [176770.21598816, 147383.33333333, -12227.5       ],
       [178254.16666667, 147383.33333333, -12264.10493851]])]","[array([[    2,     1,     0],
       [    1,     3,     0],
       [    1,     4,     3],
       ...,
       [36290, 36516, 36515],
       [36290, 36514, 36516],
       [36515, 36292, 36291]])]",0.11415892201209704,8
8,bes_96,Strat_Series,9,False,False,True,True,#ee854a,"[array([[  2102.5125285 ,   1850.        ,  -6862.5       ],
       [   745.83333333,    616.66666667,  -6875.85008621],
       [   745.83333333,    819.05722568,  -6862.5       ],
       ...,
       [178254.16666667, 144916.66666667, -12842.82450676],
       [178254.16666667, 146150.        , -12829.56157684],
       [178254.16666667, 147383.33333333, -12823.49556923]])]","[array([[    2,     1,     0],
       [    1,     3,     0],
       [    1,     4,     3],
       ...,
       [36644, 36426, 36643],
       [36644, 36428, 36426],
       [36645, 36428, 36644]])]",0.11347435696791819,9
9,bes_97,Strat_Series,10,False,False,True,True,#6acc64,"[array([[  1567.79474467,    616.66666667,  -7417.5       ],
       [  2237.5       ,   1021.17755314,  -7417.5       ],
       [  2237.5       ,    616.66666667,  -7446.91577911],
       ...,
       [178254.16666667, 144916.66666667, -13402.55635262],
       [178254.16666667, 146150.        , -13389.96985435],
       [178254.16666667, 147383.33333333, -13383.35903168]])]","[array([[    2,     1,     0],
       [    3,     0,     1],
       [    4,     3,     1],
       ...,
       [36805, 36596, 36804],
       [36805, 36597, 36596],
       [36806, 36597, 36805]])]",0.11283814922631927,10
