,time_d,northing_d,easting_d,estrutural
80460,90.5,7651000.0,400000.0,-3359.89
80461,90.5,7651000.0,401000.0,-3423.97
80462,90.5,7651000.0,402000.0,-3556.39
80463,90.5,7651000.0,403000.0,-3676.98
80464,90.5,7651000.0,404000.0,-3796.37
80465,90.5,7651000.0,405000.0,-3971.45
80466,90.5,7651000.0,406000.0,-4184.64
80467,90.5,7651000.0,407000.0,-4341.8
80468,90.5,7651000.0,408000.0,-4384.78
80469,90.5,7651000.0,409000.0,-4376.61
80470,90.5,7651000.0,410000.0,-4376.19
80471,90.5,7651000.0,411000.0,-4350.77
80472,90.5,7651000.0,412000.0,-4286.31
80473,90.5,7651000.0,413000.0,-4163.67
80474,90.5,7651000.0,414000.0,-3973.25
80475,90.5,7651000.0,415000.0,-3826.3
80476,90.5,7651000.0,416000.0,-3821.0
80477,90.5,7651000.0,417000.0,-3896.71
80478,90.5,7651000.0,418000.0,-3971.9
80479,90.5,7651000.0,419000.0,-4045.94
80480,90.5,7651000.0,420000.0,-4123.15
80481,90.5,7651000.0,421000.0,-4184.27
80482,90.5,7651000.0,422000.0,-4198.1
80483,90.5,7651000.0,423000.0,-4143.01
80484,90.5,7651000.0,424000.0,-4055.71
80485,90.5,7651000.0,425000.0,-3989.77
80486,90.5,7651000.0,426000.0,-3963.82
80487,90.5,7651000.0,427000.0,-4020.71
80488,90.5,7651000.0,428000.0,-4196.45
80489,90.5,7651000.0,429000.0,-4427.98
80490,90.5,7651000.0,430000.0,-4581.3
80491,90.5,7651000.0,431000.0,-4543.13
80492,90.5,7651000.0,432000.0,-4349.76
80493,90.5,7651000.0,433000.0,-4166.5
80494,90.5,7651000.0,434000.0,-4142.5
80495,90.5,7651000.0,435000.0,-4333.41
80496,90.5,7651000.0,436000.0,-4630.61
80497,90.5,7651000.0,437000.0,-4867.86
80498,90.5,7651000.0,438000.0,-5002.3
80499,90.5,7651000.0,439000.0,-5020.01
80500,90.5,7651000.0,440000.0,-4797.49
80501,90.5,7651000.0,441000.0,-4406.81
80502,90.5,7651000.0,442000.0,-4219.76
80503,90.5,7651000.0,443000.0,-4330.0
80504,90.5,7651000.0,444000.0,-4511.23
80505,90.5,7651000.0,445000.0,-4645.96
80506,90.5,7651000.0,446000.0,-4722.4
80507,90.5,7651000.0,447000.0,-4750.1
80508,90.5,7651000.0,448000.0,-4761.85
80509,90.5,7651000.0,449000.0,-4794.71
80510,90.5,7651000.0,450000.0,-4895.04
80511,90.5,7651000.0,451000.0,-5063.1
80512,90.5,7651000.0,452000.0,-5194.54
80513,90.5,7651000.0,453000.0,-5182.18
80514,90.5,7651000.0,454000.0,-5068.97
80515,90.5,7651000.0,455000.0,-4991.21
80516,90.5,7651000.0,456000.0,-5017.53
80517,90.5,7651000.0,457000.0,-5131.41
80518,90.5,7651000.0,458000.0,-5287.52
80519,90.5,7651000.0,459000.0,-5415.01
80520,90.5,7651000.0,460000.0,-5452.24
80521,90.5,7651000.0,461000.0,-5431.69
80522,90.5,7651000.0,462000.0,-5431.8
80523,90.5,7651000.0,463000.0,-5426.87
80524,90.5,7651000.0,464000.0,-5306.32
80525,90.5,7651000.0,465000.0,-4851.07
80526,90.5,7651000.0,466000.0,-3914.11
80527,90.5,7651000.0,467000.0,-2937.07
