,time_l,northing_l,easting_l,litho
450364,97.75,7651500.0,400500.0,9.0
450365,97.75,7651500.0,401500.0,9.0
450366,97.75,7651500.0,402500.0,9.0
450367,97.75,7651500.0,403500.0,9.0
450368,97.75,7651500.0,404500.0,9.0
450369,97.75,7651500.0,405500.0,9.0
450370,97.75,7651500.0,406500.0,9.0
450371,97.75,7651500.0,407500.0,9.0
450372,97.75,7651500.0,408500.0,26.0
450373,97.75,7651500.0,409500.0,37.0
450374,97.75,7651500.0,410500.0,44.0
450375,97.75,7651500.0,411500.0,38.0
450376,97.75,7651500.0,412500.0,45.0
450377,97.75,7651500.0,413500.0,255.0
450378,97.75,7651500.0,414500.0,255.0
450379,97.75,7651500.0,415500.0,255.0
450380,97.75,7651500.0,416500.0,255.0
450381,97.75,7651500.0,417500.0,255.0
450382,97.75,7651500.0,418500.0,255.0
450383,97.75,7651500.0,419500.0,255.0
450384,97.75,7651500.0,420500.0,255.0
450385,97.75,7651500.0,421500.0,255.0
450386,97.75,7651500.0,422500.0,255.0
450387,97.75,7651500.0,423500.0,255.0
450388,97.75,7651500.0,424500.0,255.0
450389,97.75,7651500.0,425500.0,255.0
450390,97.75,7651500.0,426500.0,255.0
450391,97.75,7651500.0,427500.0,255.0
450392,97.75,7651500.0,428500.0,255.0
450393,97.75,7651500.0,429500.0,255.0
450394,97.75,7651500.0,430500.0,255.0
450395,97.75,7651500.0,431500.0,255.0
450396,97.75,7651500.0,432500.0,255.0
450397,97.75,7651500.0,433500.0,16.0
450398,97.75,7651500.0,434500.0,16.0
450399,97.75,7651500.0,435500.0,16.0
450400,97.75,7651500.0,436500.0,16.0
450401,97.75,7651500.0,437500.0,16.0
450402,97.75,7651500.0,438500.0,21.0
450403,97.75,7651500.0,439500.0,24.0
450404,97.75,7651500.0,440500.0,24.0
450405,97.75,7651500.0,441500.0,25.0
450406,97.75,7651500.0,442500.0,25.0
450407,97.75,7651500.0,443500.0,25.0
450408,97.75,7651500.0,444500.0,25.0
450409,97.75,7651500.0,445500.0,25.0
450410,97.75,7651500.0,446500.0,25.0
450411,97.75,7651500.0,447500.0,25.0
450412,97.75,7651500.0,448500.0,25.0
450413,97.75,7651500.0,449500.0,25.0
450414,97.75,7651500.0,450500.0,25.0
450415,97.75,7651500.0,451500.0,25.0
450416,97.75,7651500.0,452500.0,25.0
450417,97.75,7651500.0,453500.0,25.0
450418,97.75,7651500.0,454500.0,25.0
450419,97.75,7651500.0,455500.0,25.0
450420,97.75,7651500.0,456500.0,25.0
450421,97.75,7651500.0,457500.0,25.0
450422,97.75,7651500.0,458500.0,25.0
450423,97.75,7651500.0,459500.0,25.0
450424,97.75,7651500.0,460500.0,25.0
450425,97.75,7651500.0,461500.0,25.0
450426,97.75,7651500.0,462500.0,25.0
450427,97.75,7651500.0,463500.0,25.0
450428,97.75,7651500.0,464500.0,25.0
450429,97.75,7651500.0,465500.0,25.0
450430,97.75,7651500.0,466500.0,25.0
450431,97.75,7651500.0,467500.0,25.0
450432,97.75,7651500.0,468500.0,25.0
450433,97.75,7651500.0,469500.0,25.0
450434,97.75,7651500.0,470500.0,25.0
450435,97.75,7651500.0,471500.0,25.0
450436,97.75,7651500.0,472500.0,25.0
450437,97.75,7651500.0,473500.0,25.0
450438,97.75,7651500.0,474500.0,25.0
450439,97.75,7651500.0,475500.0,25.0
450440,97.75,7651500.0,476500.0,25.0
450441,97.75,7651500.0,477500.0,25.0
450442,97.75,7651500.0,478500.0,25.0
450443,97.75,7651500.0,479500.0,25.0
450444,97.75,7651500.0,480500.0,25.0
450445,97.75,7651500.0,481500.0,25.0
450446,97.75,7651500.0,482500.0,21.0
450447,97.75,7651500.0,483500.0,21.0
450448,97.75,7651500.0,484500.0,21.0
450449,97.75,7651500.0,485500.0,21.0
450450,97.75,7651500.0,486500.0,21.0
450451,97.75,7651500.0,487500.0,21.0
450452,97.75,7651500.0,488500.0,21.0
450453,97.75,7651500.0,489500.0,21.0
450454,97.75,7651500.0,490500.0,21.0
450455,97.75,7651500.0,491500.0,21.0
450456,97.75,7651500.0,492500.0,21.0
450457,97.75,7651500.0,493500.0,21.0
450458,97.75,7651500.0,494500.0,21.0
450459,97.75,7651500.0,495500.0,21.0
450460,97.75,7651500.0,496500.0,21.0
450461,97.75,7651500.0,497500.0,21.0
450462,97.75,7651500.0,498500.0,21.0
450463,97.75,7651500.0,499500.0,21.0
450464,97.75,7651500.0,500500.0,24.0
450465,97.75,7651500.0,501500.0,24.0
450466,97.75,7651500.0,502500.0,24.0
450467,97.75,7651500.0,503500.0,24.0
450468,97.75,7651500.0,504500.0,24.0
450469,97.75,7651500.0,505500.0,24.0
450470,97.75,7651500.0,506500.0,24.0
450471,97.75,7651500.0,507500.0,24.0
450472,97.75,7651500.0,508500.0,24.0
450473,97.75,7651500.0,509500.0,24.0
450474,97.75,7651500.0,510500.0,24.0
450475,97.75,7651500.0,511500.0,24.0
450476,97.75,7651500.0,512500.0,24.0
450477,97.75,7651500.0,513500.0,24.0
450478,97.75,7651500.0,514500.0,24.0
450479,97.75,7651500.0,515500.0,21.0
450480,97.75,7651500.0,516500.0,21.0
450481,97.75,7651500.0,517500.0,21.0
450482,97.75,7651500.0,518500.0,21.0
450483,97.75,7651500.0,519500.0,21.0
450484,97.75,7651500.0,520500.0,21.0
450485,97.75,7651500.0,521500.0,24.0
450486,97.75,7651500.0,522500.0,24.0
450487,97.75,7651500.0,523500.0,24.0
450488,97.75,7651500.0,524500.0,24.0
450489,97.75,7651500.0,525500.0,24.0
450490,97.75,7651500.0,526500.0,24.0
450491,97.75,7651500.0,527500.0,21.0
450492,97.75,7651500.0,528500.0,21.0
450493,97.75,7651500.0,529500.0,16.0
450494,97.75,7651500.0,530500.0,16.0
450495,97.75,7651500.0,531500.0,16.0
450496,97.75,7651500.0,532500.0,9.0
450497,97.75,7651500.0,533500.0,16.0
450498,97.75,7651500.0,534500.0,16.0
450499,97.75,7651500.0,535500.0,16.0
450500,97.75,7651500.0,536500.0,16.0
450501,97.75,7651500.0,537500.0,21.0
450502,97.75,7651500.0,538500.0,21.0
450503,97.75,7651500.0,539500.0,16.0
450504,97.75,7651500.0,540500.0,35.0
450505,97.75,7651500.0,541500.0,42.0
450506,97.75,7651500.0,542500.0,42.0
450507,97.75,7651500.0,543500.0,42.0
450508,97.75,7651500.0,544500.0,35.0
450509,97.75,7651500.0,545500.0,35.0
450510,97.75,7651500.0,546500.0,9.0
450511,97.75,7651500.0,547500.0,26.0
450512,97.75,7651500.0,548500.0,35.0
450513,97.75,7651500.0,549500.0,42.0
450514,97.75,7651500.0,550500.0,47.0
450515,97.75,7651500.0,551500.0,47.0
450516,97.75,7651500.0,552500.0,42.0
450517,97.75,7651500.0,553500.0,42.0
450518,97.75,7651500.0,554500.0,42.0
450519,97.75,7651500.0,555500.0,47.0
450520,97.75,7651500.0,556500.0,50.0
450521,97.75,7651500.0,557500.0,50.0
450522,97.75,7651500.0,558500.0,50.0
450523,97.75,7651500.0,559500.0,50.0
450524,97.75,7651500.0,560500.0,50.0
450525,97.75,7651500.0,561500.0,50.0
450526,97.75,7651500.0,562500.0,50.0
450527,97.75,7651500.0,563500.0,50.0
450528,97.75,7651500.0,564500.0,50.0
450529,97.75,7651500.0,565500.0,50.0
450530,97.75,7651500.0,566500.0,49.0
450531,97.75,7651500.0,567500.0,46.0
450532,97.75,7651500.0,568500.0,32.0
450533,97.75,7651500.0,569500.0,30.0
450534,97.75,7651500.0,570500.0,21.0
450535,97.75,7651500.0,571500.0,21.0
450536,97.75,7651500.0,572500.0,42.0
450537,97.75,7651500.0,573500.0,48.0
450538,97.75,7651500.0,574500.0,48.0
450539,97.75,7651500.0,575500.0,50.0
450540,97.75,7651500.0,576500.0,50.0
450541,97.75,7651500.0,577500.0,50.0
450542,97.75,7651500.0,578500.0,50.0
450543,97.75,7652500.0,400500.0,46.0
450544,97.75,7652500.0,401500.0,46.0
450545,97.75,7652500.0,402500.0,39.0
450546,97.75,7652500.0,403500.0,28.0
450547,97.75,7652500.0,404500.0,26.0
450548,97.75,7652500.0,405500.0,9.0
450549,97.75,7652500.0,406500.0,9.0
450550,97.75,7652500.0,407500.0,9.0
450551,97.75,7652500.0,408500.0,9.0
450552,97.75,7652500.0,409500.0,26.0
450553,97.75,7652500.0,410500.0,38.0
450554,97.75,7652500.0,411500.0,45.0
450555,97.75,7652500.0,412500.0,44.0
450556,97.75,7652500.0,413500.0,45.0
450557,97.75,7652500.0,414500.0,255.0
450558,97.75,7652500.0,415500.0,255.0
450559,97.75,7652500.0,416500.0,255.0
450560,97.75,7652500.0,417500.0,255.0
450561,97.75,7652500.0,418500.0,255.0
450562,97.75,7652500.0,419500.0,255.0
450563,97.75,7652500.0,420500.0,255.0
450564,97.75,7652500.0,421500.0,255.0
450565,97.75,7652500.0,422500.0,255.0
450566,97.75,7652500.0,423500.0,255.0
450567,97.75,7652500.0,424500.0,255.0
450568,97.75,7652500.0,425500.0,255.0
450569,97.75,7652500.0,426500.0,255.0
450570,97.75,7652500.0,427500.0,255.0
450571,97.75,7652500.0,428500.0,255.0
450572,97.75,7652500.0,429500.0,16.0
450573,97.75,7652500.0,430500.0,16.0
450574,97.75,7652500.0,431500.0,16.0
450575,97.75,7652500.0,432500.0,16.0
450576,97.75,7652500.0,433500.0,16.0
450577,97.75,7652500.0,434500.0,21.0
450578,97.75,7652500.0,435500.0,24.0
450579,97.75,7652500.0,436500.0,24.0
450580,97.75,7652500.0,437500.0,24.0
450581,97.75,7652500.0,438500.0,24.0
450582,97.75,7652500.0,439500.0,25.0
450583,97.75,7652500.0,440500.0,25.0
450584,97.75,7652500.0,441500.0,25.0
450585,97.75,7652500.0,442500.0,25.0
450586,97.75,7652500.0,443500.0,25.0
450587,97.75,7652500.0,444500.0,25.0
