time,X,Y,Z,litho
99.5,400000.0,7651000.0,-3498.56,9.0
99.5,401000.0,7651000.0,-3546.68,9.0
99.5,402000.0,7651000.0,-3642.05,9.0
99.5,403000.0,7651000.0,-3725.77,9.0
99.5,404000.0,7651000.0,-3829.12,9.0
99.5,405000.0,7651000.0,-4004.27,9.0
99.5,406000.0,7651000.0,-4219.5,9.0
99.5,407000.0,7651000.0,-4377.06,9.0
99.5,408000.0,7651000.0,-4422.15,26.0
99.5,409000.0,7651000.0,-4420.61,37.0
99.5,410000.0,7651000.0,-4427.15,44.0
99.5,411000.0,7651000.0,-4413.08,255.0
99.5,412000.0,7651000.0,-4368.62,255.0
99.5,413000.0,7651000.0,-4277.4,255.0
99.5,414000.0,7651000.0,-4131.25,255.0
99.5,415000.0,7651000.0,-4029.43,255.0
99.5,416000.0,7651000.0,-4073.75,255.0
99.5,417000.0,7651000.0,-4202.15,255.0
99.5,418000.0,7651000.0,-4299.13,255.0
99.5,419000.0,7651000.0,-4367.75,255.0
99.5,420000.0,7651000.0,-4441.62,255.0
99.5,421000.0,7651000.0,-4497.83,255.0
99.5,422000.0,7651000.0,-4487.34,255.0
99.5,423000.0,7651000.0,-4394.73,255.0
99.5,424000.0,7651000.0,-4309.06,255.0
99.5,425000.0,7651000.0,-4288.44,255.0
99.5,426000.0,7651000.0,-4276.26,255.0
99.5,427000.0,7651000.0,-4301.94,255.0
99.5,428000.0,7651000.0,-4453.58,255.0
99.5,429000.0,7651000.0,-4669.77,255.0
99.5,430000.0,7651000.0,-4775.46,255.0
99.5,431000.0,7651000.0,-4667.96,255.0
99.5,432000.0,7651000.0,-4433.98,255.0
99.5,433000.0,7651000.0,-4242.22,14.0
99.5,434000.0,7651000.0,-4209.16,14.0
99.5,435000.0,7651000.0,-4388.75,14.0
99.5,436000.0,7651000.0,-4692.41,14.0
99.5,437000.0,7651000.0,-4945.69,14.0
99.5,438000.0,7651000.0,-5089.37,12.0
99.5,439000.0,7651000.0,-5110.41,10.0
99.5,440000.0,7651000.0,-4900.13,2.0
99.5,441000.0,7651000.0,-4513.78,1.0
99.5,442000.0,7651000.0,-4298.42,1.0
