#X,Y,Z,attr 
 40800.000, 57226.283,  -618.707,     0.567
 40800.000,104734.660, -1170.918,     0.847
 40800.000, 94827.330,  -994.558,     0.935
 40800.000, 54495.916,  -534.864,     0.724
 40800.000, 98103.770, -1156.463,     0.910
 40800.000,112535.707,  -954.082,     0.601
 40800.000, 93891.204, -1043.707,     0.805
 40800.000, 91784.921,  -861.565,     0.885
 40800.000, 84061.885,  -881.803,     0.949
 40800.000,110663.455,  -980.102,     0.921
 40800.000, 62765.026,  -688.095,     0.676
 40800.000,100756.126,  -954.082,     0.822
 40800.000, 62296.963,  -679.422,     0.939
 40800.000,110039.372, -1136.224,     0.777
 40800.000, 47006.911,  -491.497,     0.933
 40800.000,112535.707, -1220.068,     0.684
 40800.000, 75324.712,  -870.238,     0.661
 40800.000,104734.660, -1191.156,     0.878
 40800.000, 78913.194,  -760.374,     0.932
 40800.000,100834.136, -1037.925,     0.848
 40800.000,105514.764, -1121.769,     0.708
 40800.000, 55198.010,  -615.816,     0.973
 40800.000, 99117.906, -1081.293,     0.979
 40800.000, 76416.859,  -792.177,     0.656
 40800.000, 57616.335,  -644.728,     0.808
 40800.000, 63935.183,  -630.272,     0.480
 40800.000, 87962.408,  -832.653,     0.755
 40800.000, 92955.079, -1115.986,     0.716
 40800.000, 76104.817,  -786.395,     0.637
 40800.000, 96855.602, -1153.571,     0.922
 40800.000, 82189.634,  -922.279,     0.590
 40800.000, 99195.916, -1113.095,     0.931
 40800.000,113003.770, -1069.728,     0.889
 40800.000, 98571.832,  -985.884,     0.812
 40800.000, 51687.539,  -592.687,     0.801
 40800.000, 83983.874, -1029.252,     0.708
 40800.000,105982.827, -1202.721,     0.453
 40800.000, 74154.555,  -777.721,     0.816
 40800.000, 86948.272,  -956.973,     0.816
 40800.000,100210.052,  -951.190,     0.528
 40800.000, 90536.754,  -982.993,     0.935
 40800.000, 53949.843,  -546.429,     0.839
 40800.000,102160.314, -1040.816,     0.852
 40800.000, 99507.958, -1130.442,     0.814
 40800.000, 47630.995,  -566.667,     0.979
 40800.000, 81721.571,  -777.721,     0.821
 40800.000,111521.571, -1032.143,     0.914
 40800.000, 82033.613,  -884.694,     0.937
 40800.000, 99976.021,  -933.844,     0.806
 40800.000, 96543.560, -1156.463,     0.024
 40800.000,111209.529, -1052.381,     0.769
 40800.000,106450.890,  -948.299,     0.832
 40800.000, 83281.780,  -948.299,     0.859
 40800.000, 74934.660,  -757.483,     0.937
 40800.000,112223.665, -1176.701,     0.865
 40800.000,106684.921, -1150.680,     0.906
 40800.000, 97401.675, -1118.878,     0.765
 40800.000, 95919.476, -1026.361,     0.870
 40800.000, 88196.440,  -832.653,     0.892
 40800.000, 82735.707,  -925.170,     0.647
 40800.000,111911.623, -1214.286,     0.427
 40800.000, 80005.340,  -815.306,     0.931
 40800.000, 45602.723,  -563.776,     0.375
 40800.000,113471.832, -1061.054,     0.682
 40800.000,106840.942, -1156.463,     0.938
 40800.000, 65963.455,  -676.531,     0.775
 40800.000, 92409.005, -1046.599,     0.983
 40800.000, 82813.717,  -887.585,     0.871
 40800.000, 73296.440,  -780.612,     0.741
 40800.000, 61204.817,  -679.422,     0.910
 40800.000, 88274.450,  -896.259,     0.554
 40800.000, 90770.785,  -881.803,     0.549
 40800.000,102238.325, -1150.680,     0.892
 40800.000,106528.901, -1113.095,     0.718
