#X,Y,Z,attr 
 28003.727, 60500.000,  -612.925,     0.810
 13613.665, 60500.000,  -555.102,     0.847
 18463.354, 60500.000,  -575.340,     0.739
 12818.634, 60500.000,  -566.667,     0.883
 37067.081, 60500.000,  -717.007,     0.315
 21245.963, 60500.000,  -656.293,     0.398
 25857.143, 60500.000,  -592.687,     0.533
 25857.143, 60500.000,  -647.619,     0.800
 32296.894, 60500.000,  -607.143,     0.533
 26970.186, 60500.000,  -653.401,     0.796
 48754.037, 60500.000,  -693.878,     0.988
 39293.168, 60500.000,  -702.551,     0.565
 57419.876, 60500.000,  -751.701,     0.892
 44699.379, 60500.000,  -743.027,     0.277
 12500.621, 60500.000,  -624.490,     0.918
 14408.696, 60500.000,  -636.054,     0.930
 13454.658, 60500.000,  -549.320,     0.878
 32773.913, 60500.000,  -607.143,     0.646
 21166.460, 60500.000,  -664.966,     0.865
 58532.919, 60500.000,  -693.878,     0.867
 43586.335, 60500.000,  -719.898,     0.913
 52729.193, 60500.000,  -734.354,     0.653
 29832.298, 60500.000,  -650.510,     0.789
 21245.963, 60500.000,  -624.490,     0.767
 21722.981, 60500.000,  -644.728,     0.897
 49151.553, 60500.000,  -719.898,     0.518
 32932.919, 60500.000,  -627.381,     0.722
 29196.273, 60500.000,  -607.143,     0.633
 46050.932, 60500.000,  -705.442,     0.832
 21563.975, 60500.000,  -598.469,     0.802
 59009.938, 60500.000,  -754.592,     0.475
 41757.764, 60500.000,  -699.660,     0.792
 13057.143, 60500.000,  -555.102,     0.972
 35795.031, 60500.000,  -688.095,     0.557
 56942.857, 60500.000,  -725.680,     0.913
 23869.565, 60500.000,  -607.143,     0.925
 15442.236, 60500.000,  -618.707,     0.722
 22995.031, 60500.000,  -607.143,     0.918
 17111.801, 60500.000,  -586.905,     0.932
 50662.112, 60500.000,  -731.463,     0.654
 41598.758, 60500.000,  -693.878,     0.573
 21643.478, 60500.000,  -641.837,     0.975
 15203.727, 60500.000,  -627.381,     0.955
 11864.596, 60500.000,  -601.361,     0.922
 39929.193, 60500.000,  -688.095,     0.532
  9797.516, 60500.000,  -604.252,     0.890
 37067.081, 60500.000,  -653.401,     0.952
 19258.385, 60500.000,  -578.231,     0.654
 51059.627, 60500.000,  -728.571,     0.411
 37941.615, 60500.000,  -719.898,     0.302
 38577.640, 60500.000,  -690.986,     0.819
 18701.863, 60500.000,  -578.231,     0.788
 57976.398, 60500.000,  -696.769,     0.891
 47720.497, 60500.000,  -685.204,     0.824
 14567.702, 60500.000,  -615.816,     0.673
 38259.627, 60500.000,  -699.660,     0.642
 50741.615, 60500.000,  -705.442,     0.779
 17509.317, 60500.000,  -584.014,     0.834
 11149.068, 60500.000,  -592.687,     0.692
 16873.292, 60500.000,  -601.361,     0.882
  9718.012, 60500.000,  -630.272,     0.867
 13295.652, 60500.000,  -650.510,     0.388
  9718.012, 60500.000,  -572.449,     0.821
 34363.975, 60500.000,  -659.184,     0.936
 16793.789, 60500.000,  -633.163,     0.906
 22438.509, 60500.000,  -624.490,     0.713
 33727.950, 60500.000,  -618.707,     0.554
 15680.745, 60500.000,  -581.122,     0.814
 44460.870, 60500.000,  -734.354,     0.624
 24903.106, 60500.000,  -638.946,     0.935
 21484.472, 60500.000,  -682.313,     0.385
 43665.839, 60500.000,  -737.245,     0.416
 53285.714, 60500.000,  -728.571,     0.751
 12262.112, 60500.000,  -633.163,     0.733
 35397.516, 60500.000,  -708.333,     0.718
 46527.950, 60500.000,  -731.463,     0.938
 43427.329, 60500.000,  -667.857,     0.859
 22915.528, 60500.000,  -601.361,     0.929
 12341.615, 60500.000,  -586.905,     0.742
 56465.839, 60500.000,  -688.095,     0.922
 15362.733, 60500.000,  -572.449,     0.760
 57578.882, 60500.000,  -688.095,     0.898
 24028.571, 60500.000,  -638.946,     0.827
 35556.522, 60500.000,  -667.857,     0.944
 52490.683, 60500.000,  -690.986,     0.771
 13534.161, 60500.000,  -653.401,     0.177
 29514.286, 60500.000,  -589.796,     0.113
 32694.410, 60500.000,  -688.095,     0.743
 13057.143, 60500.000,  -604.252,     0.766
 39531.677, 60500.000,  -673.639,     0.878
 21722.981, 60500.000,  -641.837,     0.942
 48913.043, 60500.000,  -711.224,     0.779
 41916.770, 60500.000,  -719.898,     0.763
 14329.193, 60500.000,  -563.776,     0.925
 24982.609, 60500.000,  -607.143,     0.925
 19655.901, 60500.000,  -633.163,     0.816
 36033.540, 60500.000,  -702.551,     0.920
 11308.075, 60500.000,  -592.687,     0.805
 27447.205, 60500.000,  -589.796,     0.825
 17747.826, 60500.000,  -612.925,     0.898
 10672.050, 60500.000,  -546.429,     0.671
 35238.509, 60500.000,  -708.333,     0.633
 13216.149, 60500.000,  -615.816,     0.753
 46209.938, 60500.000,  -719.898,     0.478
 56624.845, 60500.000,  -737.245,     0.444
 23074.534, 60500.000,  -589.796,     0.738
 27685.714, 60500.000,  -644.728,     0.933
 40167.702, 60500.000,  -693.878,     0.852
 40167.702, 60500.000,  -670.748,     0.686
 12818.634, 60500.000,  -586.905,     0.839
 27447.205, 60500.000,  -656.293,     0.912
 54001.242, 60500.000,  -717.007,     0.919
 25698.137, 60500.000,  -633.163,     0.612
 19576.398, 60500.000,  -607.143,     0.550
 14488.199, 60500.000,  -624.490,     0.720
 33012.422, 60500.000,  -647.619,     0.978
 25380.124, 60500.000,  -638.946,     0.838
 10672.050, 60500.000,  -598.469,     0.882
 14090.683, 60500.000,  -595.578,     0.718
 55591.304, 60500.000,  -763.265,     0.910
 54160.248, 60500.000,  -734.354,     0.493
 24426.087, 60500.000,  -676.531,     0.898
 46050.932, 60500.000,  -699.660,     0.875
 59486.957, 60500.000,  -728.571,     0.560
 27526.708, 60500.000,  -592.687,     0.692
 47163.975, 60500.000,  -731.463,     0.950
 11467.081, 60500.000,  -575.340,     0.567
 19576.398, 60500.000,  -595.578,     0.953
 54716.770, 60500.000,  -717.007,     0.853
 31899.379, 60500.000,  -647.619,     0.894
 26254.658, 60500.000,  -636.054,     0.808
 13693.168, 60500.000,  -575.340,     0.824
 47959.006, 60500.000,  -708.333,     0.530
 51775.155, 60500.000,  -757.483,     0.440
 26970.186, 60500.000,  -578.231,     0.505
 50264.596, 60500.000,  -711.224,     0.555
 40644.720, 60500.000,  -685.204,     0.865
 34363.975, 60500.000,  -670.748,     0.914
 40088.199, 60500.000,  -696.769,     0.710
 23313.043, 60500.000,  -659.184,     0.623
 30468.323, 60500.000,  -601.361,     0.570
 53921.739, 60500.000,  -745.918,     0.910
 52093.168, 60500.000,  -690.986,     0.806
 40644.720, 60500.000,  -708.333,     0.727
 27447.205, 60500.000,  -670.748,     0.688
 52331.677, 60500.000,  -754.592,     0.535
 45573.913, 60500.000,  -734.354,     0.811
 56465.839, 60500.000,  -737.245,     0.425
 24028.571, 60500.000,  -659.184,     0.598
 45971.429, 60500.000,  -699.660,     0.898
 39690.683, 60500.000,  -685.204,     0.647
 56783.851, 60500.000,  -748.810,     0.872
 41439.752, 60500.000,  -702.551,     0.856
 34125.466, 60500.000,  -688.095,     0.813
  9479.503, 60500.000,  -584.014,     0.788
 25857.143, 60500.000,  -636.054,     0.571
 12977.640, 60500.000,  -595.578,     0.886
 32137.888, 60500.000,  -607.143,     0.591
 28242.236, 60500.000,  -667.857,     0.503
 22597.516, 60500.000,  -610.034,     0.863
 57340.373, 60500.000,  -740.136,     0.499
 33568.944, 60500.000,  -641.837,     0.986
 14408.696, 60500.000,  -563.776,     0.901
 12659.627, 60500.000,  -586.905,     0.811
 11228.571, 60500.000,  -586.905,     0.652
 24744.099, 60500.000,  -604.252,     0.938
 11149.068, 60500.000,  -607.143,     0.906
 57022.360, 60500.000,  -690.986,     0.965
 40167.702, 60500.000,  -664.966,     0.858
 59963.975, 60500.000,  -743.027,     0.874
